State,Year,dni,precipitation,snowfall,temperature,windspeed,potential_hydro_cap,potential_hydro_gen,total_state_area,total_coal_consumption,total_natural_gas_consumption,prime_supplier_residual_oil
AL,1998,5.038138950073365,1513.395575221239,2.0,18.201636363636364,29.75,646,3435,52420.0,0.0,329134.0,0.0
AL,1999,5.576876777055,1263.314423076923,0.6320754716981132,17.812592592592594,25.8,646,3435,52420.0,0.0,337270.0,187.3
AL,2000,5.243641889750546,1092.834693877551,18.29,17.528823529411763,26.181818181818183,646,3435,52420.0,0.0,353614.0,213.2
AL,2001,5.1361585244618055,1542.506,9.077669902912621,17.18767857142857,24.416666666666668,646,3435,52420.0,33800566.0,332693.0,107.2
AL,2002,4.748101739187958,1439.363,13.333333333333334,17.56982142857143,26.076923076923077,646,3435,52420.0,33544900.0,379343.0,81.8
AL,2003,4.6759784581458925,1634.585294117647,0.5294117647058824,17.0055,25.53846153846154,646,3435,52420.0,35600268.0,350345.0,81.0
AL,2004,4.68952834669775,1530.5670103092784,0.3564356435643564,17.32220338983051,26.46153846153846,646,3435,52420.0,35083497.0,382367.0,112.5
AL,2005,4.919254407876758,1468.8836734693878,0.0,17.367887323943663,25.76923076923077,646,3435,52420.0,36996866.0,353156.0,0.0
AL,2006,5.231013719496161,1217.8666666666666,0.6483516483516484,17.881363636363638,26.916666666666668,646,3435,52420.0,37167512.0,391093.0,0.0
AL,2007,5.109299429280782,956.244761904762,1.3617021276595744,17.845671641791046,24.583333333333332,646,3435,52420.0,37232975.0,418512.0,77.2
AL,2008,5.089455978571448,1398.111111111111,6.657407407407407,16.80945205479452,26.7,646,3435,52420.0,35845271.0,404157.0,89.8
AL,2009,4.557017585787701,1867.3336683417085,10.25263157894737,16.893529411764707,24.53846153846154,646,3435,52420.0,27583496.0,454456.0,71.9
AL,2010,5.4944149157291235,1257.2274881516587,31.13274336283186,16.85978494623656,22.846153846153847,646,3435,52420.0,30984931.0,534779.0,92.0
AL,2011,5.194409015092999,1369.8630541871921,137.3846153846154,17.550760869565217,23.25,646,3435,52420.0,28150864.0,598514.0,120.1
AL,2012,5.141594928522439,1382.9824390243903,0.23076923076923078,18.193586956521738,21.0,646,3435,52420.0,23020491.0,666712.0,132.6
AL,2013,4.6810743153376935,1686.8671957671957,8.090909090909092,16.969,22.9375,646,3435,52420.0,24400247.0,615407.0,108.8
AL,2014,5.09991782536688,1484.8386597938145,81.72727272727273,16.53372093023256,23.533333333333335,646,3435,52420.0,23901307.0,635323.0,113.8
AL,2015,4.670189804941408,1596.3244680851064,108.88888888888889,17.97064935064935,24.571428571428573,646,3435,52420.0,21025451.0,681149.0,106.7
AL,2016,5.5410822389189685,1194.7626943005182,3.3,18.397027027027026,24.642857142857142,646,3435,52420.0,17448495.0,694881.0,91.7
AK,1998,2.0740186032953,877.2619469026548,1522.360465116279,0.09686440677966099,37.94117647058823,4530,39683,665384.0,0.0,434871.0,0.0
AK,1999,1.9185109059302747,908.9247933884297,2563.230769230769,-2.117719298245614,36.3235294117647,4530,39683,665384.0,0.0,422816.0,0.0
AK,2000,2.1299610908673636,914.6900826446281,2016.7564102564102,-0.06394736842105266,36.75609756097561,4530,39683,665384.0,0.0,427288.0,0.0
AK,2001,2.349591939444366,929.5908333333333,2429.1857142857143,0.010973451327433652,34.92857142857143,4530,39683,665384.0,514513.0,408960.0,0.0
AK,2002,2.578288667136822,1072.805303030303,1954.0123456790122,1.3533587786259542,34.395348837209305,4530,39683,665384.0,562022.0,419131.0,0.0
AK,2003,2.6456582064538305,924.0173913043478,1897.8875,1.0193076923076922,36.404761904761905,4530,39683,665384.0,341545.0,414234.0,0.0
AK,2004,2.517055568076898,939.7870229007634,2150.985294117647,0.5344715447154471,35.95454545454545,4530,39683,665384.0,393029.0,406319.0,0.0
AK,2005,2.4633711081503478,1026.6592592592592,1731.9714285714285,0.6563779527559055,35.79545454545455,4530,39683,665384.0,398413.0,432972.0,0.0
AK,2006,2.307041970223482,1079.22375,2475.732558139535,-0.4527777777777778,35.0,4530,39683,665384.0,408004.0,373850.0,0.0
AK,2007,2.2089170979065216,1027.3939024390245,2363.3932584269664,0.3523076923076923,34.5945945945946,4530,39683,665384.0,414144.0,369967.0,0.0
AK,2008,2.064502623264817,1214.444966442953,2926.25641025641,-1.453276836158192,32.142857142857146,4530,39683,665384.0,427228.0,341888.0,0.0
AK,2009,2.4434258092498253,908.3315476190476,2384.2065217391305,-0.5666176470588236,31.558823529411764,4530,39683,665384.0,436549.0,342261.0,0.0
AK,2010,2.2551485574103083,974.4977011494253,1871.4255319148936,0.23254464285714288,32.69230769230769,4530,39683,665384.0,409828.0,333312.0,0.0
AK,2011,2.2393442301187654,1211.4421052631578,2635.383333333333,-0.5283829787234042,35.73684210526316,4530,39683,665384.0,409365.0,335458.0,0.0
AK,2012,2.130795662698272,1080.378313253012,2617.189655172414,-1.7491666666666668,34.67567567567568,4530,39683,665384.0,427227.0,343110.0,0.0
AK,2013,2.5057897938047633,1139.9058823529413,2756.2,0.006903553299492376,33.05263157894737,4530,39683,665384.0,399626.0,332298.0,0.0
AK,2014,2.868051578240971,1086.7552795031056,1182.050847457627,1.01,33.027027027027025,4530,39683,665384.0,654740.0,328945.0,0.0
AK,2015,2.3777479191333795,1004.6307692307693,1371.578947368421,0.4589795918367347,36.0,4530,39683,665384.0,730992.0,333602.0,0.0
AK,2016,3.6792954460116354,1037.1679487179488,1057.7230769230769,1.6208108108108108,36.648648648648646,4530,39683,665384.0,644483.0,330552.0,0.0
AZ,1998,7.3731659295014405,420.8618055555556,247.8045112781955,14.647952755905512,31.833333333333332,515,3090,113990.0,0.0,158355.0,3.7
AZ,1999,7.678771393623046,313.45064935064937,154.82191780821918,15.686528925619834,30.11111111111111,515,3090,113990.0,0.0,165076.0,0.0
AZ,2000,7.253600179887615,364.4876811594203,208.0,15.26206106870229,30.75,515,3090,113990.0,0.0,205235.0,0.0
AZ,2001,7.218669918303336,327.76466666666664,277.7348484848485,15.504621848739497,30.333333333333332,515,3090,113990.0,20157575.0,240812.0,0.0
AZ,2002,7.577801383660619,216.04935064935066,87.5,15.516785714285714,31.0625,515,3090,113990.0,19327973.0,250734.0,0.0
AZ,2003,7.307420139232246,318.5775,176.64335664335664,15.805763888888889,30.714285714285715,515,3090,113990.0,19378070.0,272921.0,0.0
AZ,2004,7.36596382165722,388.1025641025641,171.75182481751824,15.347555555555555,31.0,515,3090,113990.0,20059895.0,349622.0,0.0
AZ,2005,7.144059151952968,403.1384615384615,303.0103092783505,15.260069444444444,29.533333333333335,515,3090,113990.0,20333080.0,321584.0,0.0
AZ,2006,7.248995609852288,297.07520661157025,276.93617021276594,14.786148148148149,30.615384615384617,515,3090,113990.0,20506355.0,358069.0,0.0
AZ,2007,7.34832393671677,355.76328125,186.98181818181817,15.030434782608696,46.294117647058826,515,3090,113990.0,21189338.0,392954.0,0.0
AZ,2008,7.537909070531771,410.98839285714286,401.5,14.262325581395348,29.6,515,3090,113990.0,22657527.0,399188.0,0.0
AZ,2009,7.31016860325478,232.66545454545454,212.95945945945945,15.011506849315069,29.58823529411765,515,3090,113990.0,20762107.0,369739.0,0.0
AZ,2010,7.268147400066364,404.3955357142857,372.5315315315315,14.5208125,29.266666666666666,515,3090,113990.0,23084079.0,330914.0,0.0
AZ,2011,7.572802266096606,265.3075098814229,577.75,14.866978021978023,29.5625,515,3090,113990.0,23216812.0,288802.0,0.0
AZ,2012,7.416945294450602,264.1112727272727,609.7209302325581,15.484148936170213,27.75,515,3090,113990.0,21460814.0,332068.0,0.0
AZ,2013,7.334907350970973,325.11400778210117,423.57142857142856,14.35683908045977,28.6875,515,3090,113990.0,23297845.0,332073.0,0.0
AZ,2014,7.377368059719861,327.58763636363636,159.7704918032787,15.37,28.25,515,3090,113990.0,22911006.0,306715.0,0.0
AZ,2015,6.986684902835702,386.4873015873016,492.10714285714283,14.888909090909092,29.666666666666668,515,3090,113990.0,19812367.0,351263.0,0.0
AZ,2016,7.474159758009781,351.94780876494025,445.0,15.345548780487805,31.11764705882353,515,3090,113990.0,16639319.0,360576.0,0.0
AR,1998,5.020945944372242,1266.8503448275862,6.986486486486487,17.35731343283582,30.666666666666668,1108,5964,53179.0,0.0,266485.0,0.0
AR,1999,5.680163393710963,1119.6737931034484,33.98639455782313,16.865942028985508,29.714285714285715,1108,5964,53179.0,0.0,252853.0,0.0
AR,2000,5.041203081828702,1167.5478873239438,217.36363636363637,15.893846153846154,29.2,1108,5964,53179.0,0.0,251329.0,0.0
AR,2001,5.116010223671331,1383.6302158273381,25.746478873239436,16.215507246376813,26.266666666666666,1108,5964,53179.0,15109988.0,227943.0,0.0
