State,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DC,4.604000025,5.084,4.683999975,5.098,4.7139999249999995,4.001999966666667,4.2940000750000005,4.556000075,4.727999950000001,4.71199995,4.467999925,4.212000016666667,4.922000033333334,4.37199995,4.7419999,4.552000175000001,4.677999975,4.512000025,4.966000016666666,4.966000016666666,4.966000016666666,4.966000016666666
AK,2.0740186032953,1.9185109059302747,2.1299610908673636,2.349591939444366,2.578288667136822,2.6456582064538305,2.517055568076898,2.4633711081503478,2.307041970223482,2.2089170979065216,2.064502623264817,2.4434258092498253,2.2551485574103083,2.2393442301187654,2.130795662698272,2.5057897938047633,2.868051578240971,2.3777479191333795,3.6792954460116354,3.6792954460116354,3.6792954460116354,3.6792954460116354
GA,5.113967480458018,5.558943542466028,5.386181548009592,5.263422961729524,4.9148065208904494,4.766147238570324,4.815323627953834,4.9615530988227805,5.311053112029236,5.122053095184041,5.2128082301370275,4.61907019807368,5.629854455672239,5.428792839597814,5.082518847688318,4.743077043664469,5.172133572945215,4.738304768921375,5.74269344503433,5.74269344503433,5.74269344503433,5.74269344503433
MT,4.802328326545065,4.9379166100078455,4.869131094867755,5.22628271417769,4.904587933167012,4.910520785294758,4.681404514812239,4.94972928631408,4.9888727722288895,4.952317642654472,4.873809969384818,4.808887308097531,4.601762627999209,4.769969625967683,4.6854538494262625,4.743134930722127,4.716158230365735,4.898945898545875,5.213883260831005,5.213883260831005,5.213883260831005,5.213883260831005
WV,4.203339138581232,4.943319003157901,4.197902065903896,4.649892905308931,4.285894747139597,3.748756067414195,3.9006425459038856,4.069356534736831,4.10252813826087,4.334125416979405,4.120443032173926,3.7831798682380007,4.43339863308924,3.9206004589015984,4.533374840320374,4.077254007780316,4.228986740137296,4.219837077482837,4.619192666453096,4.619192666453096,4.619192666453096,4.619192666453096
ME,4.161423223314679,4.66967708691223,4.177065448701083,4.710889836731365,4.35487538197959,4.2198724420914,4.35755871157512,4.281407445379793,3.839605398881941,4.461924379184483,4.017265373068068,4.039031898125595,4.107661957941452,4.109706025419253,4.429179872739216,4.311760606609663,4.221987519204187,4.5380519643209585,4.592681353107539,4.592681353107539,4.592681353107539,4.592681353107539
WI,4.602696192682662,4.84020469687102,4.427910027183782,4.549904822539163,4.5724732556063605,4.654149891574515,4.161465461864268,4.5031055924707015,4.3047966294816025,4.513349431502593,4.363740538461462,4.276658423370147,4.5567614089146655,4.2374237654658975,4.784378097001385,4.302332470860378,4.236203399608726,4.498212536408067,4.445867016720928,4.445867016720928,4.445867016720928,4.445867016720928
HI,4.799953306614789,4.862007767315174,5.08085604552529,4.918412443774326,4.812140079377425,5.141883264007779,4.855330726459145,5.133105065564207,4.687797658560313,4.9521711978599185,4.883626458171205,4.700031138326847,5.198007784046693,4.589743201556418,4.949136192412449,4.848186775486379,4.8550038972762675,4.910147866342408,4.980466928210117,4.980466928210117,4.980466928210117,4.980466928210117
IA,4.423008736442844,5.203405425329491,4.6432042025553235,4.771127939038881,4.968661950091245,4.929286566294916,4.562131810261662,4.723025713912176,4.509069947231799,4.754414113993213,4.504786834110732,4.38568244879325,4.846067735063998,4.505370922977062,5.26418173504369,4.7068715999393245,4.541421993064302,4.835496230440184,4.831996752484355,4.831996752484355,4.831996752484355,4.831996752484355
FL,5.31467909743087,5.62565317603564,5.694219286445341,5.232765459822858,5.164241876234805,4.937988033599179,5.1696744290809304,5.1127760959025315,5.557746212801957,5.199521611805123,5.188029247264693,5.1033036549280935,5.689488359845105,5.558527607353484,5.200685733134026,5.011455158892625,5.1902299150830755,4.938275082037734,5.49238009147302,5.49238009147302,5.49238009147302,5.49238009147302
