State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AK,403248000,417258000,431635000,442809000,464592000,471016000,489489000,487620000,508097000,517414000,535246000,574715000,571871000,584243000,636008000,693022000,794064000,840471000,932237000,946211000,922262000,1015977000,1047781000,1033347000,1076133000,1083422000,1097719000,1181289000,1156012000,1176356000
AL,3337595000,3455827000,3462344000,3687334000,3706572000,3830537000,3913103000,3970067000,4404244000,4456054000,4687257000,4447862000,4744542000,4929145000,5278410000,5764720000,6411282000,6953868000,7709083000,7314569000,8074879000,8100051000,7910462000,7923662000,8386390000,8291793000,8436439000,8476458000,8694405000,8658756000
AR,1832978000,1902619000,1907938000,2096490000,2071998000,2173998000,2223712000,2265699000,2271531000,2261531000,2399365000,2524272000,2379932000,2399480000,2475232000,2910459000,3259718000,3273009000,3506799000,3267387000,3506833000,3561993000,3569581000,3703711000,3720556000,3804308000,3753295000,3804770000,3859004000,3952274000
AZ,3214725000,3283286000,3550711000,3644564000,3747270000,3700371000,3929579000,4019207000,4091929000,4170220000,4435966000,4526170000,4514070000,4705515000,4985229000,5404407000,6034120000,6589543000,6951472000,7017404000,7058754000,7278618000,7361001000,7669322000,7764422000,7999461000,8082024000,8259483000,8500556000,8197120000
CA,18663603000,19661146000,20611569000,20401476000,20899536000,21070045000,20668309000,21750951000,21770473000,21288954000,24840189000,28447069000,30737796000,30862916000,30968197000,32099291000,36190162000,36143455000,35926542000,36322851000,35560654000,36689318000,37774486000,40193635000,42989176000,43613405000,42552107000,46301978000,49756685000,53600889000
CO,1814049000,1872682000,1916818000,1994131000,2096005000,2161994000,2243760000,2264955000,2356601000,2414525000,2527778000,2662446000,2758223000,3146119000,3247201000,3693857000,3784693000,3979895000,4479618000,4242190000,4839726000,5017971000,5042152000,5281854000,5369170000,5380050000,5386259000,5476216000,5655389000,5750431000
CT,2489109000,2608968000,2722618000,2795080000,2852687000,2937739000,2987422000,2990638000,2983159000,2968057000,2852294000,2938750000,3047350000,3291158000,3378569000,4082158000,4917329000,7113456000,7468283000,7545578000,8077144000,7865808000,7505412000,7620686000,7841035000,8135451000,7770110000,7610317000,7982157000,7740150000
DE,535074000,572261000,571488000,636812000,630800000,661595000,663611000,708360000,715678000,750797000,705509000,815293000,875919000,974495000,952122000,994433000,1390033000,1715274000,1868001000,1769720000,1774338000,1685275000,1645734000,1630983000,1700525000,1667950000,1614634000,1571642000,1606544000,1544995000
FL,10097868000,10479403000,10281150000,10994035000,11102774000,11745421000,12343460000,12588114000,13126644000,12819403000,13525901000,15403113000,15393777000,16774212000,17834520000,19713387000,23845015000,23878430000,24295912000,25824777000,24459829000,23880209000,23028602000,22678259000,24339336000,24719443000,23348418000,24286139000,24613584000,25103431000
GA,5275467000,5352594000,5563046000,5982598000,5907139000,6363368000,6513692000,6515259000,7087107000,7024803000,7403936000,7523714000,7725685000,7815597000,8525249000,9830340000,10288208000,10799850000,11950662000,11516295000,12481460000,13108534000,12274740000,12649999000,13613674000,13069830000,13239690000,13114685000,13452928000,13739612000
