State,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AK,-274.5,-293.6,-375,-351,-462.4,-495.6,-452.3,-391.5,-506.9,-475.4,-481.8,-443.3,-519.1,-461.2,-509.6,-484.7,-457.1,-466.9,-440.7,-517.9,-543.8,-459,-593.7
AL,-62.9,-54.4,-56.4,-56.9,-111.3,-70.8,-99.8,-87.2,-94.4,-93.1,-102.7,-94.8,-115.7,-119.3,-134.3,-127.6,-121.6,-130.8,-124.4,-125.8,-103.2,-110.6,-113.9
AR,-330.8,-361.6,-403.8,-414.5,-540.9,-421.7,-582.1,-515.3,-692.9,-656.9,-755.8,-673.5,-800.2,-695,-739.6,-674.4,-696.8,-709.3,-674.1,-692.4,-734.3,-789,-809.8
AZ,-353.6,-520.1,-826.9,-963,-1128.1,-721.6,-1085.3,-535.9,-667.6,-602.8,-615.5,-511.8,-647.6,-557.8,-590.9,-560,-564.4,-525.8,-542.6,-728.4,-782.9,-792.9,-1223.6
CA,-4792.7,-4566.7,-5094.1,-4857.8,-12733.3,-5826.5,-6123.3,-6410.8,-7495.9,-7164.4,-7742.9,-7061.9,-7958.6,-7643.2,-7831.4,-7324.4,-7445.7,-7689.8,-7615.5,-8336.9,-8428,-8829.4,-9110.5
CO,-542,-618.3,-747.9,-733,-892.1,-643.7,-870.7,-701.8,-945.5,-783.4,-825.5,-837,-887,-894.9,-981.6,-947.6,-1007.9,-1031.1,-969.6,-1069.3,-1121.4,-1122.8,-1213.8
CT,-408.8,-381.6,-394.6,-391.3,-407.3,-422.3,-475.2,-505,-566.2,-560.9,-623.1,-586.7,-688.5,-691.9,-754.3,-698.3,-672.3,-673.6,-659.9,-663.7,-593,-609.3,-623
DE,-93.4,-91.5,-105.6,-105.1,-109.6,-115,-125.1,-131,-160.6,-145.9,-154.6,-163.7,-179.3,-239.3,-241.5,-222.6,-230.9,-215.9,-188.3,-194.6,-189.7,-177.7,-194
FL,-1221.2,-1221.9,-1304.4,-1270.3,-1780.8,-1560.4,-1955.2,-2107.2,-2593.7,-2261.8,-2483.1,-2213,-2423.6,-2153.4,-2541.3,-2350.9,-2296.3,-2235.1,-2222.6,-2362.4,-2320.3,-2413.7,-2555.9
GA,-691.9,-732.8,-915.7,-924.4,-1270.8,-1242.9,-1313.4,-966.3,-1415.7,-1203.7,-1243.3,-1204.2,-1337,-1163.4,-1294.7,-1283.5,-1251.6,-1231.4,-1230.2,-1391.4,-1329.2,-1314.1,-1718.8
HI,-185.4,-165.8,-160.7,-164.9,-273.7,-169.6,-235.6,-195.5,-242.6,-221.4,-253.8,-232.8,-266.7,-251,-270.7,-262.2,-256.2,-266,-271.9,-273.7,-269,-257.4,-263
IA,-142.7,-222.4,-240.8,-284.1,-254.7,-215.6,-215.9,-214.4,-269.3,-225.5,-233.3,-245.8,-276.3,-277,-252.4,-253.7,-271.6,-227.9,-221.6,-277.8,-298.9,-308.2,-337.9
ID,-1971.5,-2251.7,-3050.8,-3147.7,-3474.3,-2179.2,-2653.6,-2831.5,-3550.5,-2897.2,-2771.2,-2760.3,-2957,-2876.4,-3092.5,-2924.3,-2997.5,-2641.9,-2748.6,-3354.7,-2881.8,-3328.4,-4142.6
IL,-517.1,-696.2,-1047.5,-1129.3,-1229,-685.1,-839.4,-932.7,-1319.7,-989.5,-848.4,-865.1,-961.2,-929.5,-1085.3,-1049.6,-1105.2,-847.2,-866.5,-1223.9,-1002.1,-1126.5,-1542.2
IN,-784.5,-1163,-1941.9,-2151.5,-2003.7,-891.5,-1173.2,-1390.9,-2295.8,-1405.3,-1133.8,-1225.6,-1258.9,-1329.9,-1308.9,-1324.4,-1363.2,-1012.9,-1688.1,-1454,-1158.3,-1574.6,-2566.2
KS,-616.4,-904.4,-1368.1,-1223.8,-1162.7,-616.7,-931.4,-799.3,-1247.8,-853.7,-836,-999.4,-986.4,-960.1,-995.1,-1012.2,-1283.8,-1194.5,-1016,-1085.2,-1089.7,-1261.1,-2001.6
KY,-233.3,-285.3,-374,-550.9,-472.6,-311,-363.9,-372.4,-989.5,-680,-608.3,-606.2,-667.4,-621.1,-683.7,-679.9,-681.6,-616.4,-495.1,-525,-537.9,-532.2,-722.5
LA,-386.1,-454.8,-606.2,-644.8,-706.5,-536.3,-702.1,-556.8,-639.6,-644.7,-2099.2,-1536.2,-1062.5,-846.3,-811.9,-790.6,-743.7,-620.2,-588,-699.1,-651.3,-652.2,-797.5
MA,-72.6,-70.1,-74.8,-77.8,-78,-95.6,-109.2,-116.2,-139.1,-135.1,-148.8,-134.3,-171.6,-187.4,-195.6,-185.7,-185,-180,-162.1,-170.1,-162,-169,-171.6
MD,-609.8,-570.4,-609.7,-629.3,-686.3,-672.2,-798.8,-829,-994.9,-942.9,-1029.7,-976.4,-1123.8,-1097,-1185.1,-1159,-1146.8,-1132.9,-1100.7,-1152.2,-1133.2,-1139.1,-1215
ME,-916.7,-897.8,-925.9,-903.2,-1020.9,-1072.1,-1214.2,-1235.8,-1364.2,-1270.1,-1392.2,-1346.7,-1526.1,-1539.2,-1386.9,-1701.7,-1708.5,-1718.2,-1691.3,-1786.8,-1706.4,-1774.3,-1802.2
