State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AK,510573,520514,495795,533123,502866,528930,428736,442702,524613,523369,538673,564593,575286,549665,648981,624317,617418,641409,617896,630591,620443,656385,684960,624622,564796,667550,541386,558365,684887,673868,397179
AL,53658115,58222842,61160671,67336321,63304075,69047634,74091485,72103318,71940036,73754727,77517714,72198114,72041666,76696392,74831625,78128455,78108668,77993760,74604649,55608724,63050411,56807354,45606919,47050484,47305943,41410430,34284121,31454501,31783767,26694356,11240959
AR,19207935,19644712,20093600,18091528,19852118,21555436,24388417,22810370,23180204,24668807,24167699,24764471,23098369,23504166,25353564,23037143,24183050,25744181,26114655,25075251,28152446,29418194,28430931,31889236,33220753,21740031,23800069,26285433,29996099,23318634,8029534
AZ,31915610,32557748,34817088,37272195,38343130,31951659,31032541,34478848,36563427,38305165,40993129,40061494,38226630,38091410,39810556,40143533,40442855,41275362,43840259,39706818,43643807,43702298,40115665,43492377,42665152,36167169,30403393,31396139,30744623,23217973,6631426
CA,2637677,2632419,3299510,3129951,3271691,2786844,2528786,2331970,2159070,2296082,2363607,2232851,2327808,2326304,2237808,2135376,2235342,2298305,2280400,2049947,2100220,1982183,1375084,823172,796222,297873,318876,291092,281330,240456,163674
CO,29814983,29134010,30247748,30701319,31636583,30492682,32186181,32253020,33357849,32877064,35381219,35951028,35388251,36115624,35848391,35570136,36269425,35935739,34827545,31636023,34559290,33954685,34521021,33703437,32545068,31540895,29980067,29242215,26382061,25320309,11295294
CT,3594645,3633427,3717996,3508317,3622776,3857555,3942334,4159144,3016247,1486067,3186096,3735782,3227203,4200296,4255073,3996492,4281518,3738724,4386607,2453497,2604398,525806,652888,680652,824948,600469,177371,197508,329700,53051,-12532
DE,5113479,4820759,4003881,5374615,4949403,4438974,4410764,4000584,3906177,2834711,4112296,3368507,3463564,4026494,4743835,4832844,4968813,5621822,5266916,2848171,2568370,1454997,1422703,1544721,865384,598588,479351,358798,273389,119120,42986
FL,60100257,62013484,62709653,63138674,63465108,65761841,70856789,70934505,70279444,67629927,72741829,68227738,65926393,67674581,64861773,62515303,65423336,67908115,64823411,54003070,59897432,51990960,44286392,46342554,52045896,42904009,39424925,37512143,30123970,21264917,8162430
GA,68545692,61034072,59227954,64252566,65698752,66942360,64235966,67175571,70878052,75144659,80100450,74561180,78828124,78638490,79942962,87182259,86503986,90297529,85491256,69478196,73298042,60159341,40715047,40232869,45276138,37130630,37890028,32472708,32181963,25272537,5353916
HI,2381,7612,556628,1479074,1326742,1561204,1643103,1574731,1434868,1440245,1578585,1604764,1545796,1644137,1603750,1630919,1548594,1578931,1647592,1500166,1545513,1424036,1537341,1403755,1507486,1337411,1519092,1375722,1311202,1301945,661827
IA,25751941,26756771,25763013,27531644,27450892,29409704,29342950,29833225,32999971,33154236,35067093,34665096,35372059,35819943,35272195,34252334,34405195,37985566,40410106,37351437,41282938,38229360,35331350,33302345,34208943,29811074,25600781,25512926,28576161,22174734,7836868
ID,44371,16359,44371,39299,38038,47527,30062,27462,48120,51887,70675,72284,90672,90291,99204,95182,82302,83564,90450,82562,88277,83412,76738,91619,94277,78994,61280,26151,25015,18999,10706
IL,54966018,55060170,51416591,61490315,62998413,64415830,73348075,78121267,75355161,75089527,82322832,79550636,86685346,87981349,94401626,92265190,91648762,95264913,96644040,89966860,93611365,90013327,80826778,87927140,87371062,73773707,59314587,58185848,59763992,48842090,16877225
IN,96925554,97457227,96616880,99676953,102921426,104688066,105449025,110051663,111818095,115209205,121477884,116066510,117659700,117756281,120670933,122833478,123645469,122802898,122036086,108311699,112327659,104152599,92461191,92671942,97729476,78230689,72582399,72486582,77501351,60782416,25184519
KS,23720258,23435008,22152736,26799665,26488755,25896959,29742722,27235875,28023687,29649100,32507051,31768001,35369189,35109616,34593346,34480731,33281380,36250264,34003264,32243045,32505053,31655849,27982531,29767261,28752282,24593333,23096064,19399618,20467541,17314602,9139369
KY,70500461,71713851,73476309,81722246,79897442,82539467,84659818,87875331,86838802,89522933,90063054,90798577,83274247,84060539,86120511,89083113,91198487,90483060,91620589,84037594,91053857,91656030,82761668,83303260,83497185,72620427,66889295,57236509,59168143,51714431,25143205
LA,17856687,18968479,19840001,19411728,20163412,18989474,18701034,21007121,20781530,21182104,23488864,21968146,22050906,22888930,23657812,23087364,24395204,23051183,24100042,23067136,23923749,24627518,21421870,20843712,19180195,15164957,12013650,12315034,11786724,7418815,2186698
MA,11365893,11985593,11064697,9930394,10320147,10698263,11580771,12526456,11199758,11169847,11154272,11051333,11502859,10896489,10526362,12033547,11138340,12024346,10628689,9028108,8305890,4058808,2136921,3959230,2912744,2252665,1892479,1136318,0,0,0
MD,23509862,22835671,23850470,25126979,25624758,27595256,27992005,27620925,29294727,29687655,29451065,28379409,28712053,29939085,29195458,29302792,29408020,29699186,27218239,24162345,23668204,21058937,16184773,15538469,17606917,13925604,13826212,8504409,10066924,5721572,1968423
ME,453218,857960,559844,549170,676920,540591,509522,612223,588362,494407,649748,528412,603939,376532,359410,320272,321260,375576,351799,72148,87193,55166,45260,62751,79105,91902,69823,76356,76017,83283,39852
MI,67066870,66878223,63346702,63959080,69771616,67200645,67872152,67444850,70472657,70404994,68266999,68263164,66699508,67777484,68606018,70322977,67780162,70810599,69855437,66847683,65604375,58948269,53136430,56291453,53086401,52884035,40560252,41992898,42910451,37362680,14138862
MN,28176280,26783813,25701266,28652362,28125703,28063939,28422604,28601705,31806877,30188125,33748088,31819162,33920208,35655528,34000206,32949845,33070453,32190373,31755254,29327228,28082550,28258626,22722775,23517798,28541906,24697096,23484309,23332563,23397828,18206287,6953319
MO,48796793,48211692,47099235,40983960,48885619,53860420,57418252,60150280,62726176,61507298,62903557,65748684,67434967,74211784,75023557,77436558,77449604,75084153,73531659,71611239,75047228,78315850,72775009,76104818,72746276,65325521,60599427,67522540,59934020,55686325,27861666
MS,9526527,8790265,7836090,8880214,8946974,9324952,12058895,12546534,11779543,13042293,13877065,19196064,14853145,17082603,17477688,16635884,18105333,17407325,16683402,12957663,13628998,9723110,7211973,8701297,10729398,6399605,5342021,4628230,5280044,4414340,2590589
MT,15119619,16432520,17453833,14082858,16809389,14934147,12462506,14616020,16784786,16993155,16200839,17035883,15337829,17048635,17380228,17823338,17085080,18356773,18331533,15611280,18600634,15055722,13987393,14880296,15830568,16013206,14329081,14240843,13220808,14154291,4999889
NC,49821595,50767188,58274019,63572654,58124390,61484998,69331348,74072041,72949463,72255506,75945463,72957767,75187740,74776232,75546115,78435700,75487007,79983039,75814787,65082783,71951213,59758357,50932180,47072211,49893283,39922167,37538635,34457955,31681106,30729803,10696402
ND,25189003,25828747,26960827,27140713,27181087,26423871,27603396,26389952,28256860,28693034,29069203,28877175,29611523,29427309,28064223,30258760,28878991,29163553,29672231,29606966,28462040,27108926,28214365,27477823,27103854,27734413,26589221,26844713,27656493,25247528,14050223
NE,12661150,13591228,12440175,14776211,14039467,16104419,16067002,17248637,18380471,17837176,18457933,20238707,19943907,20954174,20457084,20818171,20682547,19629911,21479772,23349780,23362775,25965243,25019214,26767100,25037503,24185421,21913698,21392460,23171275,20342865,11247691
NH,2959203,3168054,3187087,3263241,3181654,3367488,3309695,4077225,3513065,3328263,3965476,3706399,3722386,3923303,4076075,4072987,3885433,3927414,3450769,2885669,3082642,2208203,1267717,1463530,1310998,936663,422016,287280,666175,343015,55502
NJ,7057820,5237132,5409083,5465771,5672211,7165980,7831694,8898206,7645226,8064392,10090115,9319039,9605054,9789562,10322484,11625419,10861926,10210670,9028490,5099868,6417892,4155096,1897473,2021618,2551057,1759095,1314542,1216521,1193288,1041530,537644
NM,25826928,22129312,25348413,25507029,26752349,26121447,26357179,27078660,27537426,28067704,29065954,28402187,26902879,28812844,29263902,29947248,29859010,27603649,27014233,29117308,25617790,27140865,24994049,24145270,20355634,20439532,18365269,18414482,13401533,14691666,7194363
NV,15053277,16365730,16443169,15627860,15324714,13971824,14656868,15250606,17161341,16907530,18931521,17736970,16413025,17085959,18257265,18384261,7253521,7090911,7812353,7539937,6997302,5407305,4079431,5254554,6547863,2657288,2166832,1865590,2485047,2735459,991815
NY,25913047,26659951,27279703,24501966,23290656,22288913,22671789,24058794,25264780,23365942,25009581,23431922,23239112,23581068,22852705,20597640,20967839,21405543,19154126,12758871,13582767,9426160,4551038,4697103,4597712,2380066,1770238,770295,690386,421951,143692
OH,115832650,117502355,121249946,123795912,119169558,120629428,128640943,125435419,129223181,123320141,129578544,124213236,132953066,134769138,128156782,136825598,133400156,133130679,130694311,113711997,117828009,105336958,85588637,94563885,90163229,71709529,68943573,68583587,58794343,46795303,23540786
OK,25655347,28404639,30003846,31692175,30500847,32785062,34654531,36032829,34224030,33710011,35658012,34615768,35964778,36676326,33801385,36308556,35032024,34437937,36314918,34059108,31475137,34478948,29301759,29999449,29921023,24867032,19163988,17370737,14906747,7826059,2566569
OR,1317344,2814199,3702081,3520392,3833470,1552491,1745174,1519667,3374622,3722644,3802760,4445053,3779684,4304847,3555660,3466486,2370628,4351623,4044318,3196901,4126435,3333515,2634334,3758994,3192593,2377359,1898202,1728103,1473684,2569160,822954
PA,106677155,106028875,109124697,108131818,101867590,106334647,111199706,115504502,116387155,111214374,116212561,111900448,113906440,116009874,117175783,120933255,122557903,122693095,117583412,105474534,110369290,100603082,87148206,88443209,80067390,64637232,54453212,47649977,44147852,38775548,13588718
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,23411867,23821335,23677865,27239959,27741115,26337190,30863316,31574374,32969699,35804943,39208376,36699004,36947722,37432022,38922219,39692059,39472847,41582668,41539695,34477513,37671118,34168548,28396144,24407148,28925305,22631173,21006142,18151767,19497538,14859921,6455692
SD,2472514,2727087,2626290,2641582,2833332,2721295,2029901,3314068,3094113,3674400,3670576,3611680,3271523,3431203,3620001,2996347,3315910,2655333,3660481,3217354,3298254,2585566,2918756,2849383,2689411,1495080,2082680,2062462,2379603,2617073,918796
TN,51825606,48236733,51527665,61094822,53708548,59475004,57179604,60517697,56832939,56878038,62219510,59730032,59705681,54921297,58059631,59051477,60497845,60237327,57058129,41633241,43670197,40777225,35419310,32485830,35903713,30586330,31167634,27715901,20966713,18696666,7561684
TX,120921396,120845051,121395162,131046002,125145657,124716948,135849108,138491102,135426025,140864899,140671964,135099921,141847241,146989511,148884655,148358023,146391341,147278890,147131841,139106598,150172832,157896534,138088223,149404242,148173726,121554284,121230931,134626796,111474565,91822289,41340213
UT,31522926,28887600,31552990,32125793,33130664,30611063,31100841,32544003,33587674,34533781,34491424,33679308,34487723,35978648,36617855,35970406,36855551,37170794,38020368,35526125,34057265,33137662,30799120,34284958,33257411,31656491,25897428,26389569,25912474,25241025,11279649
VA,23899902,24821391,26225034,29410001,26590655,28497065,32481847,34159931,34875765,35444523,39761316,37769911,38082381,37093331,35656006,35424875,34288141,35420747,31776356,25599288,25459220,19881112,14180796,21160502,20840167,17231426,16550843,10808505,9313272,3462084,2002403
WA,7390279,7944779,9658148,8835079,9831332,5902945,8067127,6990519,9312205,8692479,9444564,9082358,8660804,11089798,10409330,10494407,6372822,8556816,8761643,7477773,8526932,5228586,3762957,6740423,6719928,5051915,4601727,5488674,5382864,7170101,1332893
WI,33168941,34487009,33833943,34550945,36479019,38093434,39269804,41976485,41023993,41131554,42302943,41253457,39807483,41717216,42148177,41729313,40116492,40028249,41705860,37279995,40168733,39937737,32758435,40645180,37596925,37180545,33369874,35892335,33370258,26348949,13776317
WV,77643366,71867808,73352552,72968665,79628566,78714219,85219006,89845529,91213355,93329226,91202309,80214404,92951316,92468983,87584598,91417003,91473320,91866265,89113480,68079901,78147562,75964108,70267429,72284357,77509841,68056092,71411624,68294633,61975241,58192222,28926449
WY,38908467,38081345,41380784,39507092,41574239,38996375,39730220,39499793,43504063,41939072,43574108,42789310,41923161,42341453,43345741,43345674,42891826,43126812,43807903,41954266,42986522,40961448,43411766,46436677,43353526,43091188,39769739,40147517,39584253,34846117,18100920
