STATE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AK,3466261.0,3319395.0,3214330.0,3191814.0,3401175.0,3379573.0,3548718.0,3707734.0,3352895.0,3588075.0,3975832.0,3895568.0,3778161.0,3354483.0,3623432.0,3723625.0,4057731.0,3867539.0,4002473.0,3577403.0,3750023.0,3906432.0,3606037.0,3421004.0,3033337.0,3089711.0,2323312.0,2541155.0,3231910.0,3162887.0,1745958.0
AL,1020714.0,1222500.0,1396063.0,1260978.0,1248034.0,1533384.0,1884239.0,2109618.0,3751698.0,3348545.0,5028211.0,9612682.0,15904065.0,12243599.0,15977020.0,13869452.0,19407222.0,23231777.0,22362917.0,31617084.0,39235017.0,47681055.0,55705001.0,46586384.0,48113098.0,55844456.0,57750167.0,52253582.0,58787919.0,56628348.0,31604841.0
AR,3578573.0,3324886.0,3426632.0,2703261.0,3125327.0,3909350.0,3793734.0,2998984.0,4507079.0,4542596.0,3862509.0,2706900.0,4602958.0,7300860.0,5068764.0,6005660.0,9282385.0,8364250.0,8461073.0,11221413.0,12469077.0,12946682.0,17117413.0,12139378.0,9638746.0,14866286.0,18258956.0,17588176.0,19139636.0,20328679.0,9644840.0
AZ,2333900.0,2226388.0,2975365.0,1936549.0,2483535.0,2192947.0,2156382.0,2483810.0,3928204.0,5034445.0,8734799.0,12872200.0,17293016.0,18932641.0,28264943.0,28893014.0,32869047.0,38469220.0,38822429.0,34739169.0,29675941.0,23252699.0,30295011.0,29684631.0,27346767.0,33657103.0,34205130.0,29550427.0,37527842.0,46094622.0,27612735.0
CA,74168308.0,74006160.0,88704787.0,79644169.0,94431800.0,72578893.0,64414179.0,71002064.0,75131992.0,85098862.0,103218973.0,111932270.0,89624044.0,91432181.0,100222234.0,93353850.0,105691117.0,115700470.0,119991738.0,113463454.0,107522313.0,88973831.0,119668330.0,119522860.0,118267297.0,116139607.0,97530981.0,87906304.0,92202204.0,85535097.0,44078426.0
CO,1290092.0,1314681.0,1347188.0,1510863.0,2320742.0,2856788.0,3199664.0,3272172.0,3936314.0,4967383.0,7157438.0,9391788.0,9028491.0,9226034.0,10747496.0,11923290.0,11918640.0,15013901.0,13487475.0,13840025.0,11062274.0,10186304.0,10524445.0,10708804.0,12172628.0,11643751.0,12667550.0,12650410.0,16824147.0,17087658.0,10888564.0
CT,1251479.0,1571856.0,1471825.0,1383916.0,1898585.0,3019243.0,1949243.0,2595364.0,2257468.0,3601593.0,4062029.0,4088228.0,8868468.0,5061614.0,8107806.0,8863893.0,10484480.0,9929559.0,8069853.0,9809351.0,11715671.0,15188145.0,16537170.0,15780298.0,14648833.0,17362310.0,17808180.0,15566967.0,19742542.0,21186918.0,13732798.0
DE,763019.0,1110236.0,627975.0,1029190.0,2130417.0,3185559.0,2716813.0,1828758.0,1276972.0,2242791.0,840508.0,1575486.0,1442884.0,1463780.0,1718419.0,1590816.0,1170767.0,1901984.0,1387010.0,1376400.0,2864980.0,4731369.0,6814728.0,5931287.0,6250023.0,6689268.0,7819103.0,6663726.0,5204057.0,4679327.0,2867514.0
FL,18642683.0,19758810.0,19919616.0,20754801.0,26151929.0,42755150.0,39234685.0,39875684.0,38923191.0,43166956.0,43202867.0,43569806.0,63164036.0,68293418.0,76576972.0,83595196.0,96186139.0,100307183.0,103363124.0,118322308.0,128634251.0,136363872.0,149699643.0,138966367.0,141001980.0,155824151.0,158208268.0,160593505.0,172555688.0,181519412.0,109460172.0
GA,830180.0,809826.0,729290.0,696214.0,633951.0,1459884.0,1018978.0,1216108.0,3293140.0,3228769.0,4251077.0,3865873.0,6889150.0,4276991.0,6129652.0,9771033.0,12960598.0,16078944.0,13428411.0,20505750.0,23884456.0,26543605.0,42538601.0,40329848.0,40843391.0,50469267.0,52978645.0,53474177.0,53469439.0,58383625.0,33870151.0
