STATE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AL,269476.0,293206.0,328720.0,338105.0,328383.0,347027.0,307056.0,283878.0,268002.0,288151.0,230143.0,189147.0,112541.0,170370.0,181937.0,106864.0,131108.0,178368.0,203739.0,134729.0,276725.0,291535.0,177652.0,267735.0,205877.0,35863.0,27644.0,11120.0,977.0,5924.0,3453.0
AR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,185.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,2146742.0,1978403.0,2714688.0,3097462.0,2959314.0,2594985.0,3216924.0,2984277.0,3076556.0,2417613.0,2687177.0,1130499.0,1240053.0,1759015.0,2065965.0,2279584.0,2022445.0,1818107.0,1684862.0,1622845.0,1694639.0,1666988.0,1484164.0,1405721.0,1285878.0,1548638.0,1438628.0,1418707.0,1455160.0,1476270.0,909507.0
CT,4.0,2646.0,2819.0,0.0,0.0,79.0,64.0,51.0,239.0,34831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,164881.0,0.0,164881.0,103206.0,100885.0,113827.0,157795.0,177792.0,187641.0,169685.0,166769.0,157062.0,146345.0,185147.0,289721.0,492669.0,910268.0,721105.0,476423.0,227137.0,0.0,208254.0,243589.0,155408.0,226379.0,238081.0,277477.0,471362.0,252180.0,193995.0,97800.0
FL,0.0,10292.0,15178.0,72413.0,34879.0,31478.0,29306.0,56209.0,80305.0,26619.0,23471.0,634.0,13080.0,10506.0,14730.0,13240.0,16923.0,15163.0,9977.0,6800.0,8075.0,6191.0,6055.0,4673.0,6669.0,4774.0,4716.0,4904.0,5489.0,160.0,61.0
GA,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HI,16163.0,51479.0,62401.0,63068.0,65719.0,69307.0,60365.0,65383.0,60443.0,49511.0,42173.0,37855.0,40816.0,40250.0,47908.0,41133.0,42757.0,45225.0,38571.0,22344.0,21916.0,35250.0,47038.0,41328.0,34975.0,50155.0,42197.0,52024.0,55722.0,5627.0,2874.0
IL,381562.0,385381.0,404078.0,347139.0,259174.0,396906.0,399493.0,361119.0,342824.0,321263.0,384398.0,355776.0,232851.0,203626.0,246007.0,198799.0,148823.0,134269.0,53873.0,88374.0,160645.0,318548.0,293590.0,355949.0,293500.0,280061.0,281804.0,180098.0,200817.0,260889.0,174385.0
IN,1674549.0,2107806.0,2133416.0,2130459.0,1941518.0,2120995.0,2053362.0,1995347.0,1896396.0,2968890.0,2599337.0,2978809.0,3005999.0,2592254.0,3136316.0,2721577.0,2870100.0,2591405.0,2355803.0,1820065.0,2144141.0,2183389.0,2491426.0,2409661.0,2155897.0,2268637.0,2113515.0,3134904.0,2049320.0,2288087.0,1135160.0
KY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA,440700.0,955600.0,1162816.0,700587.0,1335124.0,982181.0,844588.0,1088279.0,918066.0,1651269.0,1598632.0,440544.0,1497623.0,2687230.0,2532858.0,1896727.0,1594676.0,1810999.0,1101059.0,1226992.0,1561161.0,1292183.0,1247402.0,2246279.0,1896997.0,2400747.0,2089871.0,2164779.0,1922580.0,2633249.0,1476597.0
MA,830.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD,488197.0,478704.0,506572.0,475788.0,501762.0,685721.0,539335.0,564036.0,82316.0,59891.0,74572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,0.0,0.0,0.0,4788.0,3928.0,5290.0,5541.0,5073.0,4943.0,4517.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,340949.0,217829.0,243754.0,3371.0,4634.0,1430.0,238416.0,959.0,5294.0,153.0,0.0,5614.0,10108.0,2193.0,598747.0,372119.0,412347.0,282414.0,264407.0,202510.0,299006.0,269176.0,314755.0,956666.0,1069696.0,1212779.0,1614622.0,1652167.0,1597639.0,1696538.0,412383.0
MT,0.0,0.0,0.0,0.0,0.0,8678.0,27066.0,30861.0,31136.0,30606.0,34311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,0.0,40131.0,38523.0,39393.0,43779.0,43673.0,43970.0,44317.0,52366.0,53121.0,48413.0,64734.0,55142.0,50097.0,58418.0,59423.0,58939.0,52515.0,0.0,43525.0,35535.0,39160.0,34891.0,41610.0,36890.0,39063.0,45891.0,42212.0,50987.0,49646.0,22611.0
NJ,0.0,67544.0,48157.0,86860.0,101509.0,64073.0,163374.0,131982.0,659128.0,611649.0,584734.0,448885.0,90483.0,255374.0,38779.0,64934.0,110265.0,160548.0,158826.0,169731.0,106407.0,139178.0,142181.0,223164.0,177104.0,221032.0,222344.0,219492.0,212048.0,216377.0,118147.0
NY,89034.0,51520.0,91985.0,90980.0,94206.0,96673.0,105707.0,107411.0,88313.0,111954.0,86201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH,64159.0,57312.0,73545.0,128520.0,144300.0,139069.0,176515.0,189767.0,185762.0,156424.0,290353.0,301949.0,206566.0,212523.0,302063.0,298340.0,360007.0,289277.0,260924.0,37477.0,254098.0,303743.0,958869.0,952833.0,815821.0,945021.0,902388.0,841169.0,698837.0,722432.0,344023.0
OK,88970.0,106620.0,72380.0,89656.0,70396.0,65000.0,60423.0,66790.0,49819.0,55265.0,60616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,841604.0,721051.0,1011223.0,1097975.0,972163.0,781665.0,748213.0,756189.0,630761.0,575293.0,597995.0,613137.0,568725.0,508175.0,583774.0,540066.0,554430.0,533987.0,609664.0,442504.0,551509.0,616162.0,597969.0,650148.0,461007.0,420237.0,497778.0,598856.0,411358.0,521110.0,270694.0
RI,0.0,0.0,0.0,0.0,1862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SC,0.0,5821.0,17359.0,24411.0,17368.0,9254.0,18533.0,1141.0,92.0,54609.0,888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,4210.0,3153.0,3454.0,2681.0,3030.0,11062.0,14829.0,17555.0,15845.0,14451.0,13833.0,18496.0,11872.0,2835.0,13325.0,14599.0,13633.0,13487.0,12028.0,12010.0,13461.0,16689.0,13486.0,12769.0,13042.0,11962.0,15389.0,11648.0,11175.0,12033.0,6617.0
TX,2997509.0,3320535.0,3527112.0,3281370.0,3539454.0,4276154.0,4408854.0,3705248.0,4077715.0,3971925.0,3798047.0,1574325.0,3052993.0,5999490.0,4203684.0,3271770.0,3798403.0,3601213.0,3400507.0,3649304.0,3290570.0,3389839.0,2998816.0,2399969.0,2209447.0,2579301.0,2624995.0,2569954.0,2424883.0,2874272.0,1506822.0
UT,182005.0,203802.0,230326.0,281457.0,280569.0,260694.0,238817.0,281017.0,284783.0,191285.0,257857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
