STATE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AK,497116.0,513425.0,521950.0,587422.0,562644.0,620564.0,770676.0,857889.0,836467.0,874256.0,640201.0,936990,962369,846273,747067,758929,767987,1009990,977914,1156883,937054,944999,1037761,818652,786824,746568,787310,887812,779308,915475,564107
AL,138089.0,167824.0,194866.0,192944.0,244984.0,201538.0,315378.0,237415.0,453674.0,316313.0,366155.0,434549,312048,336644,295027,333111,180167,156923,204264,219275,199854,120385,109584,74131,115019,84208,48359,41237,68116,19063,4775
AR,79979.0,68257.0,52668.0,73127.0,99613.0,67654.0,113957.0,73903.0,165349.0,159965.0,221728.0,879392,159704,288906,538941,208102,160743,94153,63625,88470,45180,55873,32560,41687,29286,60447,42398,48204,36872,46729,22421
AZ,151867.0,117399.0,101915.0,85442.0,152170.0,82557.0,69810.0,65681.0,63216.0,50355.0,190323.0,314206,57445,48678,40518,43237,73370,49276,51896,62699,66435,53246,41911,42964,57059,48118,51936,56552,50084,63880,21361
CA,5473852.0,1970119.0,1948539.0,3601682.0,3411141.0,2291128.0,2832968.0,2092192.0,2213072.0,2137916.0,2839794.0,3054893,1961066,2392249,2262899,2543697,2368175,2333972,1741589,1542847,1059290,910572,289822,68857,64586,84515,92553,45808,69644,52104,26672
CO,27390.0,37910.0,40888.0,8966.0,10220.0,11712.0,18155.0,15485.0,49190.0,46235.0,109385.0,176228,23180,33993,13869,17045,20838,28449,19113,13452,17482,22218,11045,10192,14265,7266,9671,8470,12011,10705,5665
CT,8874466.0,7993224.0,5483841.0,4384501.0,3543562.0,3579463.0,5395345.0,8508709.0,8665082.0,8268315.0,6679032.0,5172934,2337885,2062670,1740113,3155843,1278834,1311258,513851,298875,408931,165810,111733,306052,498877,436794,99554,115683,379167,80836,31488
DE,1793806.0,1900822.0,2181233.0,2504620.0,2041601.0,1285195.0,1569077.0,1215501.0,1523634.0,1604551.0,849040.0,1706630,949696,1716863,1103578,1220238,131914,241136,219177,258367,56096,37739,21625,22913,162788,154135,53815,38984,152317,42196,16423
FL,25535138.0,30599959.0,28617786.0,34727092.0,33897384.0,22287501.0,23384513.0,26159721.0,41521651.0,37130630.0,35743030.0,40579937,33681351,37204570,37255451,37201034,22904091,20202868,11970742,9221017,9122497,3280942,1366026,2560466,1906170,2149515,2815983,1482658,2076231,1511562,1059880
GA,499480.0,541032.0,813405.0,1137913.0,998279.0,849860.0,1025888.0,931168.0,1571191.0,1562467.0,1620653.0,1170539,1204566,1194059,946529,1033091,834225,788226,741561,649675,640564,551289,378072,274937,373397,260371,218607,269791,429947,313724,137246
