STATE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AK,151035.0,140381.0,131934.0,90504.0,138142.0,111345.0,102914.0,42166.0,1538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2099847.0,2216550.0,2467853.0,3348730.0,3723102.0,3798435.0,4078011.0,3320815.0,4212160.0,4282619.0,4047153.0,4172257.0,3727494.0,3648883.0,3756357.0,3630388.0,3865011.0,3783884.0,3323615.0,3035375.0,2365453.0,2806763.0,2768765.0,2854388.0,3282240.0,3245653.0,3212117.0,3338681.0,3398420.0,3428048.0,2006119.0
AR,1238044.0,1373914.0,1452610.0,1570163.0,1532559.0,1537482.0,1562697.0,1575404.0,1590702.0,1560532.0,1586581.0,1504694.0,1580608.0,1749118.0,1777769.0,1707831.0,1689379.0,1580804.0,1466063.0,1528501.0,1566983.0,1586638.0,1589891.0,1495596.0,1485977.0,1351667.0,1298492.0,1371717.0,1352453.0,1275809.0,518639.0
AZ,107888.0,106788.0,138431.0,102849.0,114905.0,90821.0,76745.0,81170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,4121986.0,4114644.0,4252371.0,3864828.0,4223531.0,2618487.0,2938298.0,3099512.0,3148981.0,3469703.0,3573501.0,3323777.0,3957590.0,3880039.0,3826904.0,3609140.0,3422093.0,3407416.0,3483555.0,3732017.0,3550877.0,3444682.0,3797597.0,3792073.0,4101582.0,3584164.0,3176397.0,3338265.0,3032388.0,3241489.0,1793820.0
FL,2144131.0,2086128.0,2290724.0,2369622.0,2412436.0,2240076.0,2417688.0,2647195.0,2073964.0,2069361.0,2059033.0,1828236.0,1552892.0,2210395.0,2216324.0,2022239.0,1978989.0,1929799.0,1968742.0,1954123.0,2018866.0,2209432.0,2057560.0,2139403.0,2653716.0,2417638.0,1961599.0,2313502.0,2465490.0,2332547.0,1248964.0
GA,2947319.0,3041610.0,3105821.0,3213037.0,3129875.0,3163469.0,3023251.0,3353734.0,3078070.0,3165459.0,3015459.0,2974334.0,6218977.0,3039351.0,3108274.0,3194764.0,3362211.0,3362096.0,2660284.0,2745570.0,3053561.0,3070257.0,3107492.0,3409441.0,3819899.0,4392768.0,4311432.0,4729903.0,4638236.0,4828177.0,3096699.0
HI,0.0,0.0,254.0,72.0,310.0,1145.0,999.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,0.0,0.0,0.0,0.0,95.0,278.0,961.0,940.0,989.0,606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID,410203.0,487645.0,544143.0,536397.0,516132.0,536621.0,508077.0,461971.0,503662.0,472685.0,483258.0,533335.0,508303.0,540952.0,560280.0,559631.0,520342.0,480581.0,455392.0,477948.0,477841.0,474384.0,459581.0,453824.0,417104.0,425795.0,413340.0,348647.0,394237.0,404470.0,222965.0
