State,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,2017,2018,2019
OR,0,0,43.8,83.5,90.6,0,129.4,84.8,111,187.7,175,169.3,181.5,163.1,148.2,177.9,241.1,384.9,358,239.82,252.28,230.09
WA,1122,0,1186.3,1648,1583.6,1748.4,1484.7,1481,1218.9,1351.4,1264.3,476.6,615,727,937.3,938.2,906.8,1089.7,1678,239.82,252.28,230.09
RI,0,0,0,0,0,21.8,35.8,50.9,24.1,46.7,53,83.3,0,89.6,99.8,111.6,117.7,94.9,124.6,239.82,252.28,230.09
SC,0,219.3,0,129,84.3,0,65.3,89.1,0,0,0,0,445.3,435.4,0,347,312.3,0,0,239.82,252.28,230.09
ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.82,252.28,230.09
VT,0,0,5,10.7,13,0,17.1,22.1,22.1,26.3,28.5,31.5,0,34.5,30.4,38.4,38.6,34.9,34.1,239.82,252.28,230.09
CA,2479.3,2523.1,1891.5,2397.3,2964.6,3328.8,4216.7,4258.2,3989.7,4603.8,4444.6,3477,2939.6,2609.6,3050.7,3450.7,3358.4,3057,2301,239.82,252.28,230.09
DE,0,0,0,0,0,0,74.6,152.6,145.6,245.4,143.2,215.5,226.5,302.7,161.5,431.1,0,0,0,239.82,252.28,230.09
MD,0,0,0,0,0,0,110.9,129.9,82,211.2,206.7,421.4,324.8,536.2,437.4,794.8,346.8,591.8,738.7,239.82,252.28,230.09
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.82,252.28,230.09
NC,17.7,0,0,17.7,49.1,102.2,188.6,227.7,319.9,395,434,540.9,568.2,606.6,459.6,544.9,567.3,629.4,660.5,239.82,252.28,230.09
OH,0.5,0,0,3.3,13.4,0,73.3,82.6,172.1,157.5,173.4,133,102.1,93.5,124.3,102.6,90.4,52.5,51.6,239.82,252.28,230.09
KY,0,0,0,0,0,0,0,0,0,0,12.7,0,0,7,0,0,0,0,4.5,239.82,252.28,230.09
MN,0,0,68.9,77.6,91.2,68.3,86.5,92.7,178.7,168.3,202.1,261.9,242.2,181.1,144.2,183.8,131.4,144.6,146.7,239.82,252.28,230.09
WI,0,0,0,0,0,0,0,0,0,0,0,161.1,116.2,58.1,0,79.3,0,0,0,239.82,252.28,230.09
MT,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,239.82,252.28,230.09
IL,0,0,0,0,0,0,0,3.8,10.5,10.7,47.8,0,74.5,118.6,10.2,80.7,21.2,41.9,60,239.82,252.28,230.09
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,239.82,252.28,230.09
