STATE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AK,510573.0,520514.0,495795.0,533123.0,502866.0,528930.0,428736.0,442702.0,524613.0,523369.0,538673.0,564593.0,575286.0,549665.0,648981.0,624317.0,617418.0,641409.0,617896.0,630591.0,620443.0,656385.0,684960.0,624622.0,564796.0,667550.0,541386.0,558365.0,684887.0,673868.0,397179.0
AL,53658115.0,58222842.0,61160671.0,67336321.0,63304075.0,69047634.0,74091485.0,72103318.0,71940036.0,73754727.0,77517714.0,72198114.0,72041666.0,76696392.0,74831625.0,78128455.0,78108668.0,77993760.0,74604649.0,55608724.0,63050411.0,56807354.0,45606919.0,47050484.0,47305943.0,41410430.0,34284121.0,31454501.0,31783767.0,26694356.0,11240959.0
AR,19207935.0,19644712.0,20093600.0,18091528.0,19852118.0,21555436.0,24388417.0,22810370.0,23180204.0,24668807.0,24167699.0,24764471.0,23098369.0,23504166.0,25353564.0,23037143.0,24183050.0,25744181.0,26114655.0,25075251.0,28152446.0,29418194.0,28430931.0,31889236.0,33220753.0,21740031.0,23800069.0,26285433.0,29996099.0,23318634.0,8029534.0
AZ,31915610.0,32557748.0,34817088.0,37272195.0,38343130.0,31951659.0,31032541.0,34478848.0,36563427.0,38305165.0,40993129.0,40061494.0,38226630.0,38091410.0,39810556.0,40143533.0,40442855.0,41275362.0,43840259.0,39706818.0,43643807.0,43702298.0,40115665.0,43492377.0,42665152.0,36167169.0,30403393.0,31396139.0,30744623.0,23217973.0,6631426.0
CA,2637677.0,2632419.0,3299510.0,3129951.0,3271691.0,2786844.0,2528786.0,2331970.0,2159070.0,2296082.0,2363607.0,2232851.0,2327808.0,2326304.0,2237808.0,2135376.0,2235342.0,2298305.0,2280400.0,2049947.0,2100220.0,1982183.0,1375084.0,823172.0,796222.0,297873.0,318876.0,291092.0,281330.0,240456.0,163674.0
CO,29814983.0,29134010.0,30247748.0,30701319.0,31636583.0,30492682.0,32186181.0,32253020.0,33357849.0,32877064.0,35381219.0,35951028.0,35388251.0,36115624.0,35848391.0,35570136.0,36269425.0,35935739.0,34827545.0,31636023.0,34559290.0,33954685.0,34521021.0,33703437.0,32545068.0,31540895.0,29980067.0,29242215.0,26382061.0,25320309.0,11295294.0
CT,3594645.0,3633427.0,3717996.0,3508317.0,3622776.0,3857555.0,3942334.0,4159144.0,3016247.0,1486067.0,3186096.0,3735782.0,3227203.0,4200296.0,4255073.0,3996492.0,4281518.0,3738724.0,4386607.0,2453497.0,2604398.0,525806.0,652888.0,680652.0,824948.0,600469.0,177371.0,197508.0,329700.0,53051.0,-12532.0
DE,5113479.0,4820759.0,4003881.0,5374615.0,4949403.0,4438974.0,4410764.0,4000584.0,3906177.0,2834711.0,4112296.0,3368507.0,3463564.0,4026494.0,4743835.0,4832844.0,4968813.0,5621822.0,5266916.0,2848171.0,2568370.0,1454997.0,1422703.0,1544721.0,865384.0,598588.0,479351.0,358798.0,273389.0,119120.0,42986.0
FL,60100257.0,62013484.0,62709653.0,63138674.0,63465108.0,65761841.0,70856789.0,70934505.0,70279444.0,67629927.0,72741829.0,68227738.0,65926393.0,67674581.0,64861773.0,62515303.0,65423336.0,67908115.0,64823411.0,54003070.0,59897432.0,51990960.0,44286392.0,46342554.0,52045896.0,42904009.0,39424925.0,37512143.0,30123970.0,21264917.0,8162430.0
GA,68545692.0,61034072.0,59227954.0,64252566.0,65698752.0,66942360.0,64235966.0,67175571.0,70878052.0,75144659.0,80100450.0,74561180.0,78828124.0,78638490.0,79942962.0,87182259.0,86503986.0,90297529.0,85491256.0,69478196.0,73298042.0,60159341.0,40715047.0,40232869.0,45276138.0,37130630.0,37890028.0,32472708.0,32181963.0,25272537.0,5353916.0
