STATE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AK,974521.0,896113.0,918120.0,1302992.0,1345407.0,1372115.0,1265863.0,1098953.0,1113332.0,816608.0,1001819.0,1345664,1439351,1582537,1498021,1463942,1223609,1291223,1171802,1323744,1433142,1344747,1575045,1435480,1530315,1568928,1549439,1780638,1629852,1397907,998859
AL,10366507.0,10757723.0,10260023.0,9034210.0,11429120.0,9501510.0,11081921.0,11520637.0,10564857.0,7759602.0,5817631.0,8356382,8824787,12664867,10626223,10144581,7251786,4136113,6136147,12535373,8704254,8883598,7435224,12899179,9684175,9861805,7720695,9202241,11058477,10839225,7465713
AR,3654653.0,3546966.0,3377255.0,4509292.0,3462641.0,3217714.0,2796966.0,3515704.0,3116743.0,2694334.0,2370483.0,2548252,3435829,2654619,3643438,3082517,1550557,3236752,4660298,4192706,3658961,2957846,2198472,2654742,2524591,3569196,3417927,3951323,3536348,2718800,1989689
AZ,7417576.0,6735540.0,6620757.0,6697088.0,7365425.0,8288419.0,9214356.0,12049393.0,10970189.0,9758817.0,8354216.0,7623565,7427179,7074984,6973148,6410065,6792904,6597670,7285903,6427346,6622161,9174093,6716932,5914659,6162855,6535721,7157611,6972056,6950056,6095517,3823679
CA,23792567.0,21957064.0,20167410.0,40492526.0,23012615.0,48033130.0,44751343.0,41054546.0,49548200.0,40736667.0,38333786.0,25541774,31140628,36370703,34140929,39631865,48047379,27327751,24127811,27888037,33430869,42557467,26837370,23754599,16409270,13808499,28944515,42693084,25897544,40051234,14065814
CO,1419870.0,1794290.0,1499162.0,1911842.0,1544037.0,2131189.0,1820368.0,2031811.0,1461961.0,1562485.0,1454415.0,1494698,1209006,1262198,1194664,1415296,1791208,1729532,2039328,1885724,1578264,2082620,1497210,1212873,1740389,1620161,1918115,2018440,1922150,1606930,1063571
CT,570619.0,433338.0,423713.0,414685.0,481162.0,363803.0,625923.0,446695.0,448285.0,421962.0,526312.0,286373,335088,564417,462612,478198,543892,363260,556178,509546,390667,567444,312142,401930,356948,302467,285517,259884,395347,521501,329921
FL,174604.0,263066.0,235604.0,210776.0,274474.0,230840.0,215560.0,241280.0,198505.0,140175.0,86769.0,147718,184114,262667,265260,266160,203422,154447,206157,208201,177477,182043,150510,254215,220990,244294,219450,195390,238776,219804,131759
GA,4589117.0,4232058.0,4915318.0,4456651.0,4331435.0,4196741.0,4678960.0,4279689.0,5234521.0,2751174.0,2480797.0,2596427,2715722,4140270,3692396,4032054,2568835,2236189,2144618,3259685,3321702,2705056,2236300,3713591,3301080,2983563,3082281,3139526,2877663,3484677,2498721
HI,79516.0,70988.0,61123.0,56243.0,139426.0,97810.0,104032.0,115330.0,121273.0,114902.0,103458.0,100750,95067,90505,93900,96186,120089,92343,84344,112648,70423,93142,114582,78295,82465,121170,117571,66826,103061,69600,39747
