STATE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AL,12051882.0,15874637.0,19397436.0,17823325.0,20479759.0,20752341.0,29707535.0,29572670.0,28662513.0,30892394.0,31368563.0,30357063.0,31856926.0,31676953.0,31635789.0,31694223.0,31911096.0,34325127.0,38992641.0,39716204.0,37940821.0,39356122.0,40841212.0,40816135.0,41243689.0,41951382.0,39901879.0,42651973.0,39462827.0,43656862.0,25574089.0
AR,11282053.0,12661793.0,11325661.0,13521676.0,13923701.0,11657549.0,13356671.0,14208157.0,13097252.0,12919550.0,11651772.0,14780789.0,14558884.0,14689416.0,15449851.0,13689571.0,15232577.0,15486102.0,14168091.0,15169966.0,15022678.0,14194445.0,15493131.0,11945257.0,14480650.0,13837794.0,13421022.0,12691079.0,12720818.0,13574947.0,8427044.0
AZ,20597689.0,25095776.0,25608706.0,22048880.0,23170894.0,26984507.0,28839587.0,29314200.0,30301045.0,30415572.0,30380571.0,28724076.0,30861911.0,28581053.0,28112609.0,25807446.0,24012231.0,26782391.0,29250496.0,30661851.0,31199935.0,31277863.0,31933916.0,31431080.0,32320917.0,32525595.0,32377477.0,32340138.0,31097259.0,31920368.0,18812976.0
CA,32692807.0,31541799.0,35244336.0,31580692.0,33752237.0,30245936.0,34096860.0,30512118.0,34594206.0,33371857.0,35175505.0,33219520.0,34352340.0,35593789.0,30267887.0,36154898.0,31958621.0,35792490.0,32482351.0,31763804.0,32200757.0,36663247.0,18507408.0,17911943.0,16985978.0,18505385.0,18907578.0,17901079.0,18213519.0,16165384.0,10981690.0
CT,19776250.0,12242911.0,16770708.0,21801782.0,20159938.0,18748900.0,6225233.0,-124722.0,3243003.0,12675262.0,16365334.0,15427767.0,14918272.0,16078095.0,16539097.0,15562122.0,16589446.0,16386142.0,15432946.0,16657382.0,16750304.0,15927837.0,17077887.0,17079582.0,15840619.0,17410917.0,16575492.0,16499621.0,16881492.0,16733398.0,9433016.0
FL,21779560.0,20507569.0,25115956.0,25886864.0,26682107.0,28740617.0,25470291.0,22967743.0,31115419.0,31526285.0,32291345.0,31583404.0,33704230.0,30979481.0,31215576.0,28758826.0,31426349.0,29289289.0,32133276.0,29117877.0,23935922.0,22015368.0,17869935.0,26525855.0,27868270.0,28121916.0,29320022.0,29146219.0,29312349.0,29108066.0,17261046.0
GA,24796884.0,26016023.0,27996298.0,27233352.0,28927090.0,30660626.0,29925001.0,30414494.0,31380401.0,31478122.0,32472935.0,33681769.0,31107735.0,33256649.0,33747705.0,31534259.0,32005810.0,32544998.0,31691095.0,31682579.0,33512033.0,32306181.0,33941634.0,32902781.0,32570182.0,33838462.0,34480662.0,33708805.0,34362676.0,33591181.0,18758347.0
IA,3011572.0,4146811.0,3405144.0,3235009.0,4107383.0,3729970.0,3923631.0,4149111.0,3767513.0,3640258.0,4452884.0,3852722.0,4573958.0,3987657.0,4928948.0,4538313.0,5095442.0,4518875.0,5282202.0,4678931.0,4450640.0,5215229.0,4346995.0,5320785.0,4152468.0,5243446.0,4702665.0,5213509.0,4895399.0,5235716.0,2794907.0
IL,71887302.0,71866091.0,73742321.0,78373458.0,72654499.0,78480848.0,69774356.0,51068818.0,55595668.0,81743889.0,89438049.0,92358477.0,90860108.0,94733036.0,92047323.0,93263001.0,94154140.0,95728845.0,95151694.0,95473920.0,96189587.0,95823196.0,96401309.0,97131436.0,97857900.0,97282139.0,98240311.0,97191142.0,98101527.0,98735488.0,57941465.0
KS,7874487.0,5858613.0,8490658.0,7899543.0,8529002.0,10062177.0,8204868.0,8430455.0,10410718.0,9156619.0,9060834.0,10346651.0,9041702.0,8889667.0,10132736.0,8820945.0,9350269.0,10369136.0,8497160.0,8768548.0,9555712.0,7318888.0,8284924.0,7168301.0,8558384.0,8630178.0,8246042.0,10647987.0,9168289.0,9247734.0,6161612.0
LA,14196784.0,13956196.0,10355520.0,14398103.0,12778635.0,15685900.0,15764823.0,13511008.0,16427501.0,13111604.0,15795739.0,17336135.0,17305328.0,16126322.0,17079981.0,15676353.0,16735448.0,17077572.0,15370988.0,16782077.0,18639347.0,16614975.0,15659132.0,16954394.0,17311330.0,15300736.0,17151826.0,15409745.0,17152582.0,13981335.0,10894319.0
MA,5069620.0,4416611.0,4741968.0,4338685.0,3858569.0,4485845.0,5324341.0,4310431.0,5698414.0,4518426.0,5512255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD,1251416.0,9036100.0,10663950.0,12300816.0,11235408.0,12937971.0,12092768.0,13212967.0,13330598.0,13312335.0,13827243.0,13656267.0,12128005.0,13690713.0,14580260.0,14703221.0,13830411.0,14353192.0,14678695.0,14550119.0,13993948.0,14397437.0,13579266.0,14264305.0,14343334.0,14643325.0,14760177.0,15106988.0,14987931.0,15012922.0,8563785.0
ME,4860727.0,6264366.0,5357999.0,5739866.0,6631984.0,197577.0,5062017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,21610500.0,27021214.0,18848731.0,28525000.0,14144281.0,24448397.0,26829363.0,21913808.0,12494153.0,14590711.0,18882432.0,26710782.0,31087454.0,27953563.0,30561961.0,32871574.0,29066165.0,31516953.0,31484428.0,21851009.0,29624580.0,32889467.0,28019714.0,28920823.0,31245848.0,29333786.0,31551710.0,32381192.0,30478694.0,32909275.0,17379028.0
MN,12139302.0,12059055.0,11166355.0,11986053.0,12223620.0,13243469.0,12095122.0,10819172.0,11644106.0,13315562.0,12959976.0,11789027.0,13684824.0,13413828.0,13295502.0,12835219.0,13183418.0,13103000.0,12996838.0,12393425.0,13478046.0,11958525.0,11943790.0,10707717.0,12707166.0,12038606.0,13860816.0,13904351.0,14601329.0,14104547.0,8796075.0
MO,7998039.0,9979371.0,8083975.0,8381333.0,10006491.0,8241833.0,8890377.0,8954604.0,8516773.0,8586646.0,9991845.0,8384240.0,8389629.0,9699589.0,7830693.0,8030577.0,10116660.0,9371955.0,9378629.0,10247116.0,8996033.0,9371323.0,10718329.0,8367103.0,9276356.0,10440082.0,9430179.0,8304127.0,10655279.0,9189863.0,6101804.0
MS,7422131.0,9132933.0,8173763.0,7903547.0,9614699.0,8013321.0,9224593.0,10812562.0,9190528.0,8428216.0,10694555.0,9923882.0,10059459.0,10902456.0,10232766.0,10077846.0,10418586.0,9358784.0,9396790.0,10998515.0,9643241.0,10336789.0,7296134.0,10864509.0,10151268.0,11714588.0,5897272.0,7364648.0,6919470.0,11032514.0,3480695.0
NC,25905319.0,30312425.0,22753813.0,23758927.0,32346007.0,35910195.0,33718182.0,32453074.0,38778211.0,37523504.0,39126881.0,37775025.0,39626849.0,40906900.0,40090623.0,39981739.0,39963184.0,40044705.0,39776280.0,40847711.0,40739529.0,40526834.0,39385592.0,40241737.0,40967020.0,42096761.0,42786087.0,42374264.0,42076949.0,41915605.0,24909053.0
NE,7511298.0,8047662.0,8748468.0,6805133.0,6345330.0,7485448.0,9456814.0,9268857.0,8258803.0,10091092.0,8628679.0,8726113.0,10122242.0,7996902.0,10241254.0,8801841.0,9002656.0,11041532.0,9479039.0,9435142.0,11054337.0,6933174.0,5801578.0,6865367.0,10101838.0,10324728.0,9350591.0,6912737.0,5632140.0,6951600.0,4040349.0
NH,4080691.0,6787851.0,7868653.0,9046805.0,6203747.0,8379376.0,9844744.0,7979448.0,8387023.0,8676237.0,7921880.0,8692743.0,9294617.0,9276288.0,10177573.0,9455885.0,9397856.0,10763884.0,9350314.0,8816673.0,10910055.0,8362807.0,8189181.0,10926725.0,10168265.0,9484204.0,10761163.0,9990704.0,10061696.0,10906923.0,5285991.0
NJ,23770387.0,24806606.0,21595097.0,24932240.0,22129335.0,16805517.0,11027886.0,13908074.0,27132139.0,28970893.0,28578119.0,30469230.0,30865675.0,29709201.0,27081566.0,31391685.0,32567885.0,32010376.0,32194798.0,34327954.0,32771305.0,33606447.0,33110224.0,33379688.0,31507121.0,33261760.0,29885187.0,34032698.0,31982106.0,26637324.0,16056113.0
