STATE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AK,0.0,0.0,16295.0,15422.0,16282.0,13589.0,11985.0,5403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,47503.0,31330.0,28790.0,2383.0,6800.0,7497.0,7286.0,23593.0,7958.0,14330.0,29012.0,17107.0,18401.0,23976.0,22876.0,16413.0,19453.0,16738.0,33698.0,14481.0,11532.0,9897.0,7789.0,21190.0,12368.0,43631.0,46027.0,38034.0,41990.0,34344.0,20239.0
AR,15389.0,16613.0,14983.0,29607.0,34352.0,23252.0,21121.0,10813.0,7787.0,5227.0,7455.0,7302.0,4658.0,94772.0,32604.0,27692.0,33427.0,42941.0,46770.0,57048.0,56959.0,81008.0,70480.0,105219.0,120839.0,89289.0,103662.0,118625.0,101201.0,78206.0,46182.0
AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4784.0,4583.0,38948.0,53344.0,44874.0,43994.0,48353.0,32194.0,32988.0,22986.0,21989.0,28413.0,46835.0,53871.0,69136.0,69046.0,49644.0,43213.0,37196.0,38217.0,34125.0,20102.0
CA,2117915.0,2471400.0,2783356.0,2891154.0,2646840.0,2757856.0,2321158.0,2321305.0,2399711.0,2382646.0,2610332.0,2082537.0,2018759.0,2254281.0,2161922.0,2223526.0,2294495.0,2305229.0,2361947.0,2467662.0,2450782.0,2584692.0,2513721.0,2843204.0,2860103.0,2883730.0,2889528.0,2572817.0,2743465.0,2540348.0,1483532.0
CO,28990.0,58832.0,28173.0,34448.0,28462.0,32910.0,33084.0,32558.0,30719.0,31772.0,17914.0,64203.0,29834.0,31470.0,34896.0,33880.0,30691.0,31105.0,45120.0,56165.0,57980.0,61521.0,57722.0,81121.0,84364.0,79723.0,86292.0,75018.0,77956.0,73486.0,44275.0
CT,1073310.0,1162621.0,1337177.0,1395624.0,1470099.0,1915839.0,2072869.0,2096499.0,2061079.0,2105977.0,2153135.0,908925.0,821348.0,785862.0,752361.0,746020.0,754776.0,728164.0,731882.0,758109.0,739246.0,658872.0,665790.0,647803.0,680881.0,597713.0,631787.0,586131.0,500720.0,482188.0,288462.0
DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL,1673078.0,2259842.0,2920768.0,3096959.0,3177187.0,3339882.0,3431163.0,3305830.0,3393368.0,3535397.0,3631313.0,1961521.0,2186889.0,2263694.0,2285246.0,2304957.0,2351701.0,2373018.0,2334127.0,2376736.0,2387414.0,2334986.0,2272622.0,2309442.0,2310654.0,2501859.0,2598841.0,2627178.0,2645399.0,2164260.0,1271529.0
GA,135457.0,65788.0,87064.0,113394.0,58571.0,68194.0,101771.0,61481.0,54348.0,47112.0,89340.0,28420.0,162459.0,133922.0,83464.0,77124.0,56706.0,53324.0,121685.0,79602.0,127002.0,119262.0,168121.0,415240.0,358386.0,340799.0,345198.0,187578.0,340868.0,326103.0,185806.0
HI,840005.0,823082.0,805042.0,777056.0,730124.0,638525.0,591765.0,605809.0,504066.0,576595.0,538349.0,287708.0,296543.0,347169.0,328830.0,309738.0,325694.0,285276.0,302423.0,284428.0,283473.0,312627.0,280977.0,329363.0,348513.0,320942.0,322331.0,243331.0,307051.0,290271.0,139566.0
IA,18018.0,25267.0,20009.0,29264.0,59285.0,64135.0,68760.0,102719.0,89877.0,90577.0,88562.0,103749.0,98242.0,114171.0,105926.0,116842.0,136896.0,151083.0,167264.0,167888.0,190146.0,160593.0,150935.0,158631.0,158401.0,256146.0,254437.0,191550.0,216383.0,208909.0,121559.0
ID,0.0,9784.0,8619.0,10240.0,12210.0,12987.0,3683.0,9266.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,154855.0,182055.0,202394.0,251034.0,289919.0,341327.0,459414.0,641541.0,625894.0,695584.0,908391.0,678570.0,723510.0,800926.0,743926.0,641736.0,594260.0,620324.0,697372.0,709743.0,670260.0,637582.0,615193.0,607987.0,660930.0,526821.0,573287.0,494985.0,452727.0,418741.0,247241.0
IN,37117.0,33114.0,33471.0,32454.0,36993.0,84340.0,104146.0,124056.0,124111.0,125978.0,129882.0,114580.0,115947.0,119140.0,137372.0,67693.0,220214.0,231248.0,273038.0,302644.0,311624.0,335587.0,336092.0,376303.0,384780.0,446407.0,447883.0,434678.0,472079.0,409757.0,241633.0
LA,91646.0,91661.0,80251.0,84369.0,92863.0,102237.0,96039.0,104424.0,153407.0,125718.0,94883.0,63636.0,61580.0,64662.0,76571.0,80397.0,81431.0,81512.0,70885.0,67188.0,74368.0,71096.0,63760.0,82346.0,86924.0,96274.0,101585.0,85955.0,87427.0,75715.0,44584.0
MA,1560515.0,1634651.0,1681890.0,1858998.0,1933887.0,1885794.0,1933966.0,2011629.0,1937066.0,1938120.0,2074711.0,1183018.0,1165457.0,1133591.0,1115564.0,1138288.0,1153569.0,1121067.0,1129046.0,1107874.0,1125327.0,1039131.0,1065139.0,1060540.0,1096274.0,1047103.0,1077013.0,1055222.0,1066131.0,925671.0,529335.0
