STATE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370388.0,1227.0,827.0,758.0,7812.0,122745.0,25543.0,27916.0,25093.0,20934.0,3583.0,8223.0,374314.0,366447.0,382504.0,226543.0,3295.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,0.0,0.0,0.0,0.0,1837.0,3651.0,0.0,0.0,0.0,2781.0,7539.0,236.0,170631.0,109161.0,37949.0,15293.0,21865.0,17449.0,22397.0,24019.0,28420.0,32419.0,30392.0,20565.0,13077.0,12123.0,5636.0,4879.0,5087.0,4839.0,2631.0
CA,0.0,5112.0,10211.0,11423.0,14125.0,15796.0,28279.0,21680.0,20225.0,23427.0,22040.0,204337.0,398108.0,281494.0,428566.0,419508.0,464077.0,421447.0,570313.0,752687.0,839048.0,916927.0,814686.0,816045.0,812133.0,811716.0,801065.0,837790.0,852396.0,764388.0,391655.0
CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,869139.0,804321.0,792118.0,763175.0,739952.0,738599.0,725585.0,709734.0,713453.0,716562.0,704868.0,756487.0,711241.0,625506.0,556469.0,591473.0,546887.0,464733.0,578186.0,345845.0
DE,6315.0,6315.0,6315.0,6049.0,7970.0,9282.0,0.0,0.0,4161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL,1453102.0,1917539.0,1951858.0,1676955.0,2051342.0,2026987.0,2044941.0,2058826.0,2043149.0,2038076.0,2036183.0,3046349.0,2939794.0,3710701.0,3426595.0,3579461.0,3260672.0,3236179.0,2827263.0,2732700.0,2833559.0,3385050.0,3193779.0,3086048.0,2806551.0,3020545.0,3187816.0,3075806.0,2996373.0,3164525.0,1711946.0
GA,1.0,431.0,0.0,0.0,0.0,0.0,0.0,4194.0,6681.0,9069.0,1530.0,7957.0,33649.0,33195.0,39577.0,52527.0,118177.0,115497.0,51404.0,25337.0,17535.0,27868.0,56054.0,87836.0,63535.0,87118.0,97548.0,107750.0,79624.0,93009.0,44735.0
HI,0.0,0.0,0.0,0.0,0.0,2119.0,0.0,0.0,0.0,0.0,0.0,169479.0,143482.0,171898.0,170532.0,149005.0,175620.0,149294.0,159146.0,381431.0,363881.0,366062.0,362735.0,393927.0,194315.0,369162.0,209197.0,363847.0,383430.0,395070.0,191315.0
ID,65203.0,61948.0,72032.0,74844.0,85138.0,90280.0,95604.0,89950.0,83514.0,81071.0,83813.0,109187.0,89583.0,62723.0,37941.0,30764.0,72914.0,68599.0,69518.0,72371.0,78725.0,77632.0,69258.0,77058.0,0.0,80767.0,75697.0,68343.0,63972.0,65655.0,40741.0
IL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19310.0,20883.0,0.0,49500.0,122396.0,156418.0,131640.0,39797.0,38383.0,20979.0,49448.0,61819.0,300096.0,298863.0,299461.0,284644.0,274879.0,248214.0,233827.0,256344.0,230551.0,240183.0,128669.0
