STATE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AR,42972.0,14103.0,2692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,249767.0,362912.0,290465.0,325983.0,304437.0,190029.0,265397.0,352098.0,268991.0,324035.0,288956.0,276294.0,123964.0,283590.0,-53440.0,107366.0,148552.0,125411.0,94530.0,169480.0,209030.0,121019.0,79445.0,24271.0,13892.0,73070.0,58630.0,-45830.0,-4526.0,2473.0,55237.0
CA,986252.0,99860.0,-4495.0,282924.0,934849.0,2506665.0,2194436.0,1013904.0,1208801.0,-386214.0,937940.0,-349689.0,-240997.0,-912313.0,-816831.0,119793.0,96137.0,309779.0,321263.0,152849.0,-171265.0,-88794.0,574858.0,196290.0,-139908.0,112650.0,-259349.0,407454.0,-148574.0,-30615.0,-30103.0
CO,-33198.0,-18130.0,132331.0,72745.0,111867.0,91953.0,-120092.0,37515.0,45530.0,36349.0,45175.0,-250582.0,-220264.0,-203640.0,-191801.0,-122063.0,-200502.0,-168061.0,-249108.0,-108658.0,-120792.0,-243379.0,-244468.0,-280433.0,-225264.0,-278523.0,-294186.0,-326652.0,-262738.0,-191882.0,-91092.0
CT,6474.0,-3556.0,3301.0,-4254.0,2795.0,-12414.0,387.0,-7442.0,89.0,2891.0,-4368.0,0.0,-10201.0,-18.0,7715.0,-1653.0,0.0,-15355.0,6791.0,5385.0,9492.0,5604.0,2716.0,-1051.0,6782.0,-3707.0,5587.0,1797.0,3471.0,2155.0,103.0
GA,342110.0,432291.0,483079.0,344444.0,578456.0,537462.0,310102.0,189519.0,-172698.0,-48086.0,-154828.0,-569710.0,-648168.0,-636093.0,-877846.0,-209221.0,-400343.0,-321649.0,-156922.0,271988.0,-277954.0,-708621.0,-837884.0,-427301.0,-780633.0,-814532.0,-993024.0,-1247579.0,-488754.0,-598689.0,-135067.0
MA,-669583.0,-622480.0,-648685.0,-678809.0,-646096.0,-806203.0,-657967.0,-488178.0,-455585.0,-469367.0,-700364.0,-711349.0,-842801.0,-510929.0,-498326.0,-461643.0,-578898.0,-830547.0,-798400.0,-533636.0,-337069.0,-440231.0,-307545.0,-367906.0,-458158.0,-473881.0,-500450.0,-443012.0,-463783.0,-436378.0,-215850.0
MI,-694986.0,-795785.0,-770902.0,-773214.0,-811063.0,-731820.0,-820336.0,-934385.0,-930349.0,-932474.0,-1053698.0,-1126837.0,-1035560.0,-1017246.0,-1112984.0,-1106241.0,-1039210.0,-1129241.0,-915502.0,-856864.0,-1022559.0,-945017.0,-773280.0,-870822.0,-700889.0,-480821.0,-751650.0,-674759.0,-698455.0,-696488.0,-472709.0
MO,-36259.0,-47872.0,-31744.0,-74307.0,-72157.0,-64981.0,-75025.0,-114984.0,-77703.0,-112746.0,-192095.0,-265860.0,-159005.0,-253991.0,115325.0,85933.0,47552.0,383473.0,545355.0,566713.0,887686.0,167298.0,33444.0,296075.0,18853.0,347749.0,179201.0,99724.0,46907.0,336744.0,18114.0
NC,180046.0,216432.0,109885.0,246302.0,380819.0,167317.0,340406.0,253805.0,65672.0,175397.0,108102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NJ,-149547.0,-155184.0,-138298.0,-123234.0,-166734.0,-94532.0,-114233.0,-129523.0,-146233.0,-145413.0,-140628.0,-141740.0,-145800.0,-119882.0,-287239.0,-282707.0,-298601.0,-268934.0,-274845.0,-201714.0,-193772.0,-196778.0,-166176.0,-202133.0,-236904.0,-169577.0,-204013.0,-161819.0,-115102.0,-93829.0,-111432.0
NY,-1054095.0,-1007269.0,-1031645.0,-1135702.0,-1145844.0,-1162013.0,-1145989.0,-1093153.0,-1157681.0,-1109075.0,-990437.0,-930520.0,-921224.0,-911806.0,-813171.0,-780731.0,-756156.0,-768380.0,-672139.0,-480387.0,-529264.0,-305500.0,-412945.0,-442868.0,-491330.0,-422812.0,-470932.0,-415671.0,-430718.0,-315589.0,-163148.0
OK,19764.0,-65352.0,-31864.0,-61044.0,-50013.0,-64663.0,-79594.0,-97108.0,-88735.0,-106374.0,-127287.0,-128479.0,-177868.0,-206187.0,-233879.0,-153825.0,-116473.0,-165844.0,-167598.0,-116831.0,-152918.0,-153195.0,-116710.0,-78457.0,-105798.0,-72496.0,-87429.0,-117610.0,-135051.0,-104059.0,-64930.0
PA,-879249.0,-963145.0,-918889.0,-884047.0,-843069.0,-1240153.0,-922518.0,-631044.0,-459733.0,-449612.0,-410596.0,-615450.0,-657754.0,-738994.0,-685884.0,-711041.0,-698177.0,-722855.0,-353762.0,-730511.0,-707779.0,-172343.0,-443367.0,-538770.0,-578653.0,-508927.0,-561836.0,-605294.0,-659143.0,-565629.0,-338992.0
SC,-506389.0,-574257.0,-535497.0,-239116.0,-620856.0,-657895.0,-754982.0,-855044.0,-989870.0,-996777.0,-1082006.0,-1035722.0,-1143216.0,-1206813.0,-1149090.0,-1198675.0,-1119899.0,-1210614.0,-1266564.0,-976443.0,-934701.0,-890143.0,-896033.0,-794922.0,-884495.0,-904379.0,-976600.0,-1024829.0,-704735.0,-908655.0,-382369.0
TN,-478151.0,-376338.0,-421383.0,-560158.0,-592981.0,-615489.0,-678467.0,-672094.0,-622336.0,-651676.0,-731451.0,-733724.0,-695843.0,-728649.0,-817826.0,-597935.0,-667540.0,-704364.0,-738679.0,-649832.0,-721472.0,-660367.0,-162939.0,-42012.0,-491183.0,-530702.0,-703946.0,-686154.0,-619844.0,-615360.0,-425253.0
UT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VA,-833669.0,-1037665.0,-664933.0,-774085.0,-742235.0,-768394.0,-829603.0,-863791.0,-955440.0,-1227757.0,-1340991.0,-2240077.0,-1988835.0,-1498159.0,-1166111.0,-1420823.0,-1167444.0,-1620283.0,-1637688.0,-1334709.0,-1490602.0,-1481293.0,-1365574.0,-1189000.0,-1295354.0,-1036382.0,-1162636.0,-1277795.0,-1291976.0,-1104203.0,-590784.0
WA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
