STATE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,2758881.0,2914505.0,2863999.0,2983640.0,3387128.0,3086757.0,3078924.0,3136878.0,2757869.0,3229953.0,3518023.0,3499738.0,3802645.0,3895430.0,4305876.0,4262229.0,4882800.0,5584934.0,5384954.0,5839815.0,6078630.0,7751837.0,9754228.0,12822060.0,13775971.0,12229558.0,13698109.0,13970725.0,13650058.0,14970454.0,9343246.0
CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48640.0,139005.0,147109.0,220141.0,776234.0,865536.0,1291516.0,3220843.0,3163836.0,3451851.0,5200323.0,5968643.0,7203721.0,7350883.0,7475281.0,9425327.0,9567088.0,9819107.0,10925947.0,7057319.0
HI,28825.0,35621.0,22676.0,21944.0,20350.0,20357.0,22528.0,16031.0,19281.0,16494.0,17003.0,2122.0,1617.0,1574.0,7495.0,6633.0,79675.0,238185.0,240023.0,251428.0,261121.0,340813.0,378235.0,503309.0,585271.0,612770.0,643964.0,643399.0,542656.0,594849.0,360261.0
IA,0.0,0.0,0.0,0.0,53.0,117.0,108.0,118.0,89.0,326354.0,493820.0,487863.0,918834.0,981971.0,1049950.0,1647136.0,2317823.0,2756676.0,4083787.0,7420518.0,9170337.0,10709176.0,14032491.0,15568405.0,16295245.0,17872633.0,20049261.0,20815751.0,21685110.0,26558274.0,17974751.0
KS,45.0,42.0,113.0,58.0,55.0,26.0,0.0,0.0,0.0,0.0,0.0,39832.0,466679.0,365939.0,358631.0,425823.0,991890.0,1152538.0,1759411.0,2863266.0,3405065.0,3719980.0,5195306.0,9433196.0,10843901.0,10998500.0,14113110.0,18500571.0,19295205.0,21501124.0,13992367.0
MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,330.0,2661.0,1875.0,1848.0,2212.0,2723.0,141182.0,300172.0,360340.0,456474.0,1131686.0,2799624.0,3875481.0,4796898.0,4693179.0,5072481.0,5330068.0,5813128.0,3732919.0
MN,266.0,237.0,145.0,185.0,39523.0,56997.0,49938.0,53954.0,146852.0,485692.0,724524.0,897018.0,905838.0,977759.0,812371.0,1582478.0,2054946.0,2638812.0,4354620.0,5053022.0,4791724.0,6725697.0,7615408.0,8258751.0,9060138.0,9778845.0,10636884.0,10884720.0,11346349.0,11040440.0,6940091.0
MT,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2630.0,8079.0,38222.0,38436.0,96607.0,261247.0,216766.0,214183.0,382636.0,421644.0,1050884.0,1283630.0,1801761.0,2736184.0,3180464.0,3793398.0,5237449.0,5177866.0,7414499.0,4923965.0
NY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10345.0,20539.0,81624.0,41203.0,116450.0,102989.0,655372.0,833478.0,1250699.0,2266339.0,2596154.0,2828069.0,2991579.0,3539497.0,3970657.0,3976981.0,3945704.0,3943886.0,4383410.0,4849870.0,2793763.0
OR,539.0,539.0,539.0,0.0,0.0,0.0,0.0,0.0,19523.0,84792.0,66699.0,88587.0,376159.0,443619.0,619012.0,734275.0,931219.0,1246994.0,2575235.0,3469713.0,3920007.0,4775374.0,6343468.0,7455703.0,7580251.0,6631556.0,7162778.0,6506086.0,7137096.0,7168734.0,5375442.0
PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9813.0,11175.0,57767.0,111521.0,306312.0,284241.0,361109.0,470018.0,729424.0,1074787.0,1854033.0,1794466.0,2128659.0,3352042.0,3583604.0,3352672.0,3471693.0,3378962.0,3615437.0,3548793.0,2368714.0
TN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX,0.0,0.0,0.0,0.0,0.0,0.0,82572.0,81054.0,80036.0,319960.0,492146.0,1187510.0,2656104.0,2569852.0,3137690.0,4237211.0,6670515.0,9006382.0,16225022.0,20026104.0,26251410.0,30548088.0,32214172.0,35873622.0,39371138.0,44833366.0,57550514.0,67092489.0,75752818.0,84429125.0,56648264.0
VT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13604.0,12249.0,12133.0,10372.0,10829.0,11364.0,11486.0,10688.0,10511.0,10235.0,11589.0,13892.0,33185.0,106897.0,236035.0,305640.0,325364.0,293419.0,278821.0,393411.0,384022.0,237824.0
WI,44.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2728.0,72284.0,46180.0,97580.0,103562.0,92543.0,101376.0,109283.0,487141.0,1051964.0,1088464.0,1187730.0,1557576.0,1557924.0,1609164.0,1589381.0,1520526.0,1528577.0,1959284.0,1649214.0,1077580.0
WY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2045.0,11150.0,245911.0,365159.0,447331.0,366479.0,616515.0,717266.0,759062.0,754881.0,962542.0,2226204.0,3246793.0,4611866.0,4369106.0,4433283.0,4419605.0,3756709.0,4363206.0,4397585.0,4187009.0,4041722.0,2643661.0
SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871.0,6043.0,44249.0,157678.0,158104.0,148965.0,150018.0,145136.0,420981.0,1371751.0,2668301.0,2914665.0,2687699.0,2916319.0,2497514.0,3144957.0,3154070.0,2765546.0,3014564.0,3021254.0
