State,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CT,0,0,0,1623330,1507880,2051412,2132461,2070184,2244830,1935600,2221062,1196099,1365666,325472,415027,418568,499319,358722,128303,137443,220578,47528
ME,0,0,0,180210,220603,163802,167757,145599,146890,136499,127082,33959,54225,38333,31769,38265,52959,74042,70490,66310,62360,69362
MA,0,0,0,4358823,4602830,4389781,4356545,5024902,4749689,5120267,4580564,3891564,3497164,1762583,953803,1718448,1243802,1005304,907029,558920,0,0
NH,0,0,0,1533314,1526613,1595254,1659582,1722539,1633744,1625233,1481001,1207934,1247212,898363,519684,616035,543854,405567,193936,134046,293754,159462
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NJ,0,0,0,4305491,4069771,4179849,4428708,4995181,4635174,4669163,4164846,2540753,3082110,1975556,1007280,1016801,1213927,893424,667242,630615,648154,529624
NY,0,0,0,9257764,9154394,9646069,9702015,9069342,9417177,9612982,8884834,6107841,6384244,4591499,2228299,2224780,2153558,1037905,653864,242182,271938,186750
PA,0,0,0,49297454,49859713,50925827,51697856,54464252,55935918,55712416,53994936,48852528,50888343,47402552,41602295,41992205,38307400,31391161,27527666,24384201,23502780,20743451
IL,0,0,0,45732365,49266078,50180030,54078089,53821786,53938522,56487860,57367771,53670025,55382283,53681917,48508526,51995713,51563181,43445590,35430838,34224429,35493118,29161359
IN,0,0,0,57397172,57691523,58493336,59458671,60010779,60582008,60755678,61170877,54448665,56348421,52704007,46695557,46670503,48582447,39106209,36084770,35551968,39143963,31003596
MI,0,0,0,33928333,33366633,34101000,35312245,36272791,34926449,36573650,36476111,35329724,34975948,32335431,29668970,31652714,29400993,29486809,23125808,24058073,24238217,21229484
OH,0,0,0,53834171,55917355,57224326,54993946,59607209,58604329,59452081,58953472,51096324,53712205,48139777,37119141,40622554,38417332,30518117,29056835,28522773,25121096,19605849
WI,0,0,0,24080930,23331134,24318620,24776507,24614774,23701732,23779771,24724521,22199483,23833233,22812319,19283051,23674030,21234870,21559168,18972088,20918282,19479523,14694837
IA,0,0,0,21305012,21503566,21680437,21873260,21072097,21236435,23018606,24733785,22606894,24779702,22676769,20747246,19517281,19705132,16840440,14289311,14477681,16229800,12788791
KS,0,0,0,20150017,22659637,22579986,22138569,22046001,20873681,22779650,21616305,20782692,20964625,20128520,17759419,18915276,18198644,15851401,14586777,12542106,13175858,11535465
MN,0,0,0,18427255,19087960,20729391,20070081,20008194,19573452,19178426,18762636,17354920,16581571,16514897,13383973,13765383,16534437,14458848,13686469,13359389,13812648,10767336
MO,0,0,0,38585260,39702714,43835068,44379479,45765374,45602988,44094456,43710758,42678220,44692482,46352927,42339591,44462614,43041079,38468326,35593931,39513370,37060029,32764874
NE,0,0,0,12606174,12209825,12725226,12649573,12886005,12881408,12266965,13360229,14182736,14167060,15710680,14884164,15829187,15036282,14508074,13055678,12570426,14442982,13064155
ND,0,0,0,24794707,25247310,25172975,23914567,25317152,24298455,24638691,24893315,24593242,23113126,22056110,22794753,22289235,22289253,22786160,21807059,22210443,23101890,21329202
SD,0,0,0,2211605,2050883,2173733,2327955,1880136,2063543,1690652,2359357,2106637,2163853,1767952,1950142,1847073,1780371,989978,1402810,1354935,1493490,1689836
DE,0,0,0,1480314,1541021,1786783,2054688,2207769,2188592,2462433,2390982,1352170,1229865,716947,681765,708254,397113,276220,226928,186326,166596,85162
DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,0,0,0,28696297,28138927,28331203,27643867,26603195,27754628,28826067,28076690,23466939,25697518,22804796,19931595,20904871,23012093,19157495,17701145,16851538,13365449,9532981
GA,0,0,0,30890896,32636792,33349868,36093848,39137498,38890321,40803032,39296063,32784856,34268680,28893582,20836259,20633402,22659682,19306704,19271596,16769956,16953323,13551393
MD,0,0,0,11158140,11244749,11779577,11575516,11709652,11638354,11883837,11065168,9804743,9845704,8917189,6929551,6789119,7410731,6036309,5992719,3780497,4481491,2676056
NC,0,0,0,28648954,29478213,29403376,29922250,31302875,30455929,32412385,31115830,26427448,29454703,24590955,20875943,19169988,19539354,15666165,14802380,13460656,12599223,12362994
SC,0,0,0,14382462,14340508,14713709,15556961,15792529,15761216,16524069,16878551,14071013,15411376,13969915,11657801,9973304,11796781,9276698,8682786,7647695,8282057,6473162
VA,0,0,0,15427618,15416555,15200844,14881801,14919536,14194258,14912701,13368488,10802579,10957617,8798848,6496701,9869373,9512531,7960943,7828236,5274592,4938516,2006332
WV,0,0,0,32694237,37827819,37468318,35956431,37875179,37862654,38056404,37706159,29255356,32751739,31916965,29571091,30093280,31883464,28223351,29549447,27987730,25810633,23867512
AL,0,0,0,33800566,33544900,35600268,35083497,36996866,37167512,37232975,35845271,27583496,30984931,28150864,23020491,24400247,23901307,21025451,17448495,16231437,16234892,14244733
KY,0,0,0,41305269,38604897,38521048,39342392,40352022,41937833,41064161,42190776,39271173,41890627,42542656,38978114,39474651,39213757,34380844,32071055,27671332,28566789,25167530
MS,0,0,0,8334032,7868977,9544509,9949509,9760392,10377849,9894860,9497095,8423736,8589035,6202862,5240442,5866878,6550473,4830015,4521573,3864960,4505890,3833217
TN,0,0,0,24487231,24629777,23189447,24832368,26118856,27216074,27348419,26632328,19462206,20622181,19967176,17466176,16685927,17903440,14966658,15862829,14545543,10358841,9361950
AR,0,0,0,15109988,14165024,14309814,15318316,14031168,14614055,15629235,15678438,14993987,16537465,17465254,17022704,18765669,19281018,12815424,14066188,15193337,17452295,13766806
LA,0,0,0,14854125,14622569,15462478,15975403,15789718,16336716,15452812,16337017,15721650,16217629,16713023,14746404,13787461,12632390,10776537,8567135,8397844,8110980,5287184
OK,0,0,0,20500183,21364736,21580473,20293772,21951758,21188461,20547491,21956887,20959233,19362898,21307004,18317298,18794030,18742693,15646699,12169671,10939560,9541239,5205509
TX,0,0,0,92437807,95672686,100269279,101762999,101232971,99660962,102915788,101839927,95406650,100281132,110098425,97305165,102486695,101657503,86779197,86130492,93487554,75899022,63310631
AZ,0,0,0,20157575,19327973,19378070,20059895,20333080,20506355,21189338,22657527,20762107,23084079,23216812,21460814,23297845,22911006,19812367,16639319,16929036,16813552,12874791
CO,0,0,0,19764973,19446040,19595836,19251209,19013117,19707009,19532855,18961826,17351280,18978981,18744067,19198567,18822170,17877222,17529140,16660627,16628006,15266074,14515416
ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,0,0,0,10838145,9746411,11031665,11321883,11587500,11302084,11928925,12011567,10151222,12005206,9757789,9057056,9562164,10179545,10277308,9328183,8943859,8733152,9371545
NV,0,0,0,8189695,7885175,7869456,8501930,8621864,3487925,3446770,3877575,3821564,3588189,2862814,2257830,2933068,3445862,1507248,1192389,1097176,1411665,1551121
NM,0,0,0,15955052,15197035,16541512,16660841,17033665,16961078,15958762,15397619,16512524,14536265,15496305,14452448,14269521,11913479,11881563,10546850,10493731,7261657,8148441
UT,0,0,0,14905720,15643508,16302162,16606420,17117995,16609368,16592519,16926608,15925250,15233176,15004971,14083904,15528650,15062456,14580342,12000639,12438027,12331680,11890687
WY,0,0,0,26184419,25675109,25860502,26427523,26085574,26170061,26585417,26885244,25501396,26101851,25114190,26265229,27915902,26288635,26312523,24433776,24678982,24377593,21276827
CA,0,0,0,897110,970291,889618,924418,872533,898841,960806,992777,878932,892130,811500,539439,259404,277855,0,0,0,0,0
OR,0,0,0,2490485,2154618,2532925,2076573,2103125,1449061,2577187,2382020,1854042,2417098,1985277,1583129,2182985,1853491,1400657,1124563,1031022,897821,1499340
WA,0,0,0,6001410,6125529,7310783,6878530,6995591,4124679,5681470,5763323,4974233,5726666,3424561,2502192,4428542,4474939,3405097,3074627,3623129,3628396,4804176
AK,0,0,0,514513,562022,341545,393029,398413,408004,414144,427228,436549,409828,409365,427227,399626,654740,730992,644483,622917,701515,661454
