State,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998
MD,300876,300637,222881,219024,215005,207103,197356,208946,193986,212020,196510,196067,201053,182294,202509,194725,197024,196276,178376,212133,196350,188552
ID,127638,111700,111334,106306,104730,92046,104783,89004,82544,83326,85197,88515,81937,75709,74540,75335,69868,71481,80279,72697,70672,69277
SD,91362,89464,80890,80513,79099,80613,81986,70238,73605,72563,66185,65258,53938,40739,42555,41679,43881,41577,37077,37939,35794,33042
TX,4619800,4464219,3867275,4020915,4113608,3928277,4021851,3850331,3693905,3574398,3387341,3546804,3516706,3432236,3503636,3908243,4050632,4303831,4252152,4421777,4009689,4205459
WV,218282,202934,184025,171825,174165,165341,142082,129753,115361,113179,109652,111480,115974,113084,117136,122267,126986,146455,141090,147854,139961,142860
MS,570154,576888,526862,544464,521355,427584,420594,494016,433538,438733,364323,355006,364067,307305,301663,282051,265842,343890,332589,300652,306733,241342
MO,316378,322805,261993,267170,267673,297087,276967,255875,272583,280181,264867,296058,272536,252697,268040,263945,262529,275629,283793,284763,265798,258652
VT,13866,13742,11926,12094,11950,10677,9602,8191,8611,8443,8638,8624,8867,8056,8372,8685,8400,8367,7919,10426,8033,7735
MN,509061,490169,451979,449783,431315,474520,467874,422263,420770,422968,394136,425352,388335,352570,367825,359898,371261,371583,340911,362025,344591,330513
NH,53624,49888,52071,57957,68682,57018,54028,72032,69978,60378,59950,71179,62132,62549,70484,61172,54147,24901,23398,24950,20313,19127
DE,89214,95516,98966,108562,102693,101379,95978,101676,79715,54825,50148,48162,48155,43190,46904,48057,46177,52216,50113,48387,56013,40809
CT,283408,277931,239818,247958,254065,235859,234475,229156,230036,199426,185056,166801,180181,172682,168067,162642,154075,177587,146278,159712,152237,131497
MI,1002237,965538,870756,890324,844801,861755,814635,790642,776466,746748,735340,779602,798126,803336,913827,916629,924819,966354,906001,963136,951143,876444
IA,442873,443174,391129,330094,317821,329385,326140,295183,306909,311075,315186,325772,293274,238454,241340,226819,230161,226457,224336,232565,230691,232057
KS,306050,310028,269919,267315,270938,284651,283177,262316,279724,275184,286973,282904,286538,264253,255123,256779,281346,304992,272500,312369,302932,326674
VA,684597,634162,566676,543343,500477,419705,418506,410106,373444,375421,319134,299364,319913,274175,299746,277434,262970,258202,237853,268770,276793,260332
OK,835139,807023,664233,701776,679457,642309,658569,691661,655919,675727,659305,687989,658379,624400,582536,538576,540103,508298,491458,538563,538329,575855
HI,3277,3282,3106,3040,2924,2916,2855,2689,2619,2627,2607,2702,2850,2783,2795,2774,2732,2734,2818,2841,3115,2654
LA,1861894,1738734,1593181,1591882,1470354,1423424,1396261,1482343,1420264,1354641,1189744,1238661,1289421,1217871,1254370,1281428,1233505,1341444,1219013,1536725,1495478,1569190
PA,1612589,1460456,1350245,1301000,1255621,1244371,1121696,1037979,965742,879365,809707,749884,752401,659754,691591,696175,689992,675583,634794,702847,688740,644017
IL,1134722,1108592,1017772,1024186,993548,1093931,1056826,940367,986867,966678,956068,1000501,965591,893997,969642,953207,998486,1049878,951616,1030604,1004281,957254
IN,894471,854024,720453,754276,718725,713416,672751,649921,630669,573866,506944,551424,535796,496303,531111,526701,527037,539034,501711,570558,556932,521748
WI,576650,543025,487732,482233,457743,463186,442544,402656,393734,372898,387066,409377,398370,372462,410250,383316,394711,385310,359784,393601,380560,368022
NE,185260,185949,166286,163362,161189,172837,173376,158757,171777,168944,163474,171005,150808,129885,119070,115011,118922,120333,121984,126962,121487,130730
WY,154836,165384,149405,123351,119265,136796,149820,153333,156455,150106,142793,142705,140912,108481,108314,107060,115358,112872,98569,101314,96726,109188
MA,433774,438577,448996,427946,444332,421671,421001,416350,449194,432297,395852,406719,408704,370664,378068,372532,403991,393194,349103,343314,344790,358846
NY,1312031,1350443,1237311,1296270,1353385,1349203,1273263,1223036,1217324,1198127,1142625,1180356,1187059,1097160,1080215,1098056,1101618,1199632,1171898,1244746,1274162,1232473
CA,2154030,2137920,2116902,2172889,2301217,2339392,2415571,2403494,2153186,2273128,2328504,2405266,2395674,2315721,2248256,2406889,2269405,2273193,2464565,2508797,2339521,2309883
CO,520139,485735,438137,441018,466906,478987,467798,443750,466680,501350,523726,504783,504775,450832,470321,440378,436253,459397,463738,367920,333085,330259
MT,88394,87034,80036,75037,75042,78110,79670,73399,78217,72025,75802,76422,73822,73879,68355,66829,68473,69532,65051,67955,62129,59840
GA,753735,738986,689501,706688,694399,652408,625283,615771,522897,530030,462799,425043,441107,420469,412560,394986,379761,383546,351109,413845,337576,368579
ME,44484,46464,43810,53128,52777,60663,64091,68266,71690,77575,70334,70146,63183,49605,57835,72565,70832,101536,95733,44779,6572,5716
SC,337310,330362,278768,275946,275751,230525,232297,244850,229497,220235,190928,170077,175701,174806,172032,163787,146641,184803,141785,160436,162926,159458
TN,402277,392161,321644,326546,313379,305633,279441,277127,264231,257443,216945,229935,221118,221626,230338,231133,257315,255515,255990,270658,278841,279070
AL,729402,750188,661366,694881,681149,635323,615407,666712,598514,534779,454456,404157,418512,391093,353156,382367,350345,379343,332693,353614,337270,329134
FL,1545434,1477160,1387960,1382558,1345790,1214531,1225676,1328463,1217689,1158452,1055340,942699,917244,891611,778209,734178,689986,689337,543143,541847,559366,503844
AK,366476,355132,347725,330552,333602,328945,332298,343110,335458,333312,342261,341888,369967,373850,432972,406319,414234,419131,408960,427288,422816,434871
UT,264046,244058,221834,240114,232612,241737,247285,223039,222227,219213,214220,224188,219700,187399,160275,155891,154125,163379,159299,164557,159889,169776
KY,336191,340125,283678,271845,270958,255434,229983,225924,223034,232099,206833,225295,229799,211049,234080,225470,223226,227920,208974,225168,218399,205129
NJ,766824,770284,706589,762958,745789,773221,682247,652060,660743,654458,620790,614908,618965,547206,602388,620806,612890,598602,564923,605275,715630,679619
DC,30544,31490,29457,28888,32237,33848,32743,28561,32862,33251,33177,31880,32966,29049,32085,32227,32814,32898,29802,33468,32281,30409
NC,556490,582418,502567,522002,498576,452780,440175,363945,307804,304148,247047,243090,237354,223032,229715,224796,218642,235376,207108,233714,217159,214092
OH,1179077,1162745,948324,928492,966492,1002345,912403,842959,823548,784293,740925,792247,806350,742359,825961,825753,848388,830955,804243,890962,841966,811384
RI,99301,101796,92061,85977,93886,88886,85537,95476,100455,94110,92743,89256,87972,77204,80764,72609,78456,87805,95607,88419,118001,130751
AZ,468482,384753,321451,360576,351263,306715,332073,332068,288802,330914,369739,399188,392954,358069,321584,349622,272921,250734,240812,205235,165076,158355
AR,360024,360804,311609,309732,291006,268444,282120,296132,284076,271515,244193,234901,226439,233868,213609,215124,246916,242325,227943,251329,252853,266485
ND,134722,126325,109440,102322,97725,86881,81593,72740,72463,66395,54564,63097,59453,53336,53050,59986,60907,66726,60819,56528,56418,49541
NM,296753,271547,239305,247761,250518,247637,245502,243961,246418,241137,241194,246665,234236,223636,220717,223575,221021,235098,266283,266469,236264,245823
WA,345210,307985,324882,301418,307735,306675,318292,264540,264589,285726,310428,298140,272613,263395,264754,262485,249599,233716,312114,286653,287302,290229
OR,288976,255713,247206,235912,234634,220090,240418,215830,199419,239325,248864,268484,251927,222608,232562,234997,212556,202164,229665,224888,235009,229403
NV,302373,299783,293849,304181,300002,253290,272965,273502,249971,259251,275468,264596,254406,249608,227149,214984,185846,176596,176835,189170,154689,148539
