Year,Value
1913,11.76923076923077
1914,11.153846153846153
1915,11.307692307692308
1916,14.307692307692308
1917,19.923076923076923
1918,22.153846153846153
1919,23.384615384615383
1920,26.076923076923077
1921,16.53846153846154
1922,16.384615384615383
1923,16.923076923076923
1924,16.384615384615383
1925,17.153846153846153
1926,16.923076923076923
1927,16.0
1928,16.076923076923077
1929,16.0
1930,14.384615384615385
1931,12.153846153846153
1932,10.923076923076923
1933,11.0
1934,12.384615384615385
1935,13.076923076923077
1936,13.384615384615385
1937,14.538461538461538
1938,13.076923076923077
1939,12.923076923076923
1940,13.0
1941,14.538461538461538
1942,16.76923076923077
1943,17.0
1944,17.23076923076923
1945,18.0
1946,20.46153846153846
1947,25.23076923076923
1948,27.23076923076923
1949,26.0
1950,26.923076923076923
1951,30.0
1952,29.076923076923077
1953,29.0
1954,29.0
1955,29.0
1956,29.76923076923077
1957,31.0
1958,31.0
1959,31.0
1960,31.0
1961,31.0
1962,31.0
1963,31.0
1964,31.0
1965,31.76923076923077
1966,32.92307692307692
1967,33.0
1968,33.88
1969,35.08
1970,36.36
1971,37.68
1972,39.44
1973,44.52
1974,53.0
1975,57.92307692307692
1976,60.61538461538461
1977,64.46153846153847
1978,69.53846153846153
1979,78.15384615384616
1980,89.23076923076923
1981,97.6923076923077
1982,99.61538461538461
1983,100.92307692307692
1984,103.23076923076923
1985,102.76923076923077
1986,99.6923076923077
1987,102.38461538461539
1988,106.46153846153847
1989,111.76923076923077
1990,115.84615384615384
1991,116.23076923076923
1992,116.84615384615384
1993,118.46153846153847
1994,119.92307692307692
1995,124.23076923076923
1996,127.46153846153847
1997,127.07692307692308
1998,123.92307692307692
1999,124.92307692307692
2000,132.15384615384616
2001,133.76923076923077
2002,130.6153846153846
2003,137.69230769230768
2004,146.30769230769232
2005,157.0
2006,164.23076923076923
2007,172.23076923076923
2008,189.0
2009,172.6153846153846
2010,184.15384615384616
2011,200.6153846153846
2012,201.6153846153846
2013,203.07692307692307
2014,205.0
2015,189.92307692307693
2016,184.92307692307693
2017,192.92307692307693
2018,201.6153846153846
2019,199.46153846153845
2020,192.8
