State,Year,annual_gdp,total_natural_gas_consumption,annual_subsidies,annual_average_snowfall,annual_revenue_of_electricity_providers,annual_average_windspeed,annual_average_precipitation,annual_average_temperature,prime_supplier_residual_oil,average_electricity_price,annual_average_dni,total_coal_consumption,potential_hydro_cap,potential_hydro_gen,total_state_area,producer_price_index,electricity_generated_from_natural_gas,electricity_generated_from_others,electricity_generated_from_geothermal,electricity_generated_from_hydroelectrical,electricity_generated_from_petroleum,electricity_generated_from_biomass,electricity_generated_from_wind,electricity_generated_from_coal,electricity_generated_from_other_gases,electricity_generated_from_solar_and_photovoltaics,electricity_generated_from_wood_and_wood_derivatives,electricity_generated_from_pump_storage,renewable_energy_percentage
AZ,2018,116698.8,384753,-792.9,145.75,8500556000,29.5,353.0838056680162,15.203493150684931,252.28,10.85,5.310025,16813552,515.0,3090.0,113990.0,201.6153846153846,37527842.0,0.0,0.0,6950056.0,50084,38217.0,0.0,30744623.0,0.0,5170637.0,0.0,-4526.0,15.102941360849325
AZ,2019,117447.1,468482,-1223.6,594.4,8197120000,30.35294117647059,427.1163090128756,14.160921985815605,230.09,10.52,5.310025,12874791,515.0,3090.0,113990.0,199.46153846153845,46094622.0,0.0,0.0,6095517.0,63880,34125.0,0.0,23217973.0,0.0,5108424.0,0.0,2473.0,13.94313488217264
CA,2018,2708966.9,2137920,-8829.4,558.8295454545455,49756685000,27.82608695652174,501.470099009901,14.937510373443985,252.28,12.886,5.310025,0,3360.0,18570.0,163695.0,201.6153846153846,92202204.0,852396.0,12026768.0,25897544.0,69644,2743465.0,13650058.0,281330.0,1455160.0,26950988.0,3032388.0,-148574.0,47.00913486512692
MN,2017,327667.5,451979,-1425.1,795.1538461538463,6897622000,38.86666666666667,800.8968911917099,6.2384375,239.82,10.27,5.310025,13359389,516.0,2870.0,86936.0,192.92307692307693,7138994.0,396232.0,0.0,1257150.0,43266,663642.0,10884720.0,23332563.0,0.0,0.0,1352087.0,0.0,31.413405423645443
WI,2019,72340.4,576650,-120.4,2092.603260869565,7370279000,35.05882352941177,1169.18,6.184630872483221,230.09,10.66,5.310025,14694837,522.0,3287.0,65496.0,199.46153846153845,21136978.0,47358.0,0.0,1992705.0,136230,516821.0,1649214.0,26348949.0,0.0,0.0,841486.0,0.0,9.493545829283649
NE,2017,74253.6,166286,-150.2,618.531746031746,2755770000,44.125,675.5027149321268,10.485945945945947,239.82,9.08,5.310025,12570426,1851.0,11332.0,77348.0,192.92307692307693,680155.0,0.0,0.0,1593535.0,7563,95131.0,5237449.0,21392460.0,0.0,0.0,0.0,0.0,23.877973652131278
LA,2019,239967.2,1861894,-797.5,0.0,7178850000,29.153846153846153,1611.4935779816517,20.007454545454546,230.09,7.71,5.310025,5287184,789.0,4461.0,52378.0,199.46153846153845,70395010.0,462844.0,0.0,1146727.0,3183582,75715.0,0.0,7418815.0,2633249.0,0.0,2130778.0,0.0,3.8345863629876566
AK,2017,193693.0,347725,-543.8,1678.7959183673472,1181289000,35.22857142857143,1021.172027972028,0.028256410256410267,239.82,19.1,5.310025,622917,4530.0,39683.0,665384.0,192.92307692307693,2541155.0,0.0,0.0,1780638.0,887812,0.0,0.0,558365.0,0.0,0.0,0.0,0.0,30.871138372772393
MI,2017,457341.5,870756,-1101.4,1603.575221238938,12077266000,37.083333333333336,1004.9098039215686,7.993525179856116,239.82,7.212000000000001,5.310025,24058073,380.0,2407.0,96714.0,192.92307692307693,26287232.0,259981.0,0.0,1612465.0,1124025,977656.0,5072481.0,41992898.0,1652167.0,0.0,1600532.0,-674759.0,10.74827558907127
PA,2019,726165.9,1612589,-2079.5,821.6785714285713,22380321000,30.65217391304348,1320.2602040816325,10.365660377358493,230.09,7.816,5.310025,20743451,2418.0,13140.0,46054.0,199.46153846153845,98400586.0,873083.0,0.0,4039747.0,235357,1675140.0,3548793.0,38775548.0,521110.0,0.0,423024.0,-565629.0,6.165939862171928
ND,2018,149663.0,126325,-354.1,1342.9545454545455,1842373000,44.25,482.48607594936715,4.433076923076923,252.28,8.91,5.310025,23101890,252.0,1523.0,70698.0,201.6153846153846,689204.0,0.0,0.0,2522735.0,38647,3849.0,0.0,27656493.0,50987.0,0.0,0.0,0.0,8.16029628658305
AL,2017,52825.9,661366,-103.2,22.857142857142854,8476458000,24.53333333333333,1692.2658682634728,18.154153846153847,239.82,9.83,5.310025,16231437,646.0,3435.0,52420.0,192.92307692307693,52253582.0,0.0,0.0,9202241.0,41237,38034.0,0.0,31454501.0,11120.0,0.0,3338681.0,0.0,13.05691806496275
MS,2019,287659.3,570154,-1873.4,2.303030303030303,4542721000,25.222222222222218,1804.0046511627909,18.696285714285715,230.09,9.28,5.310025,3833217,1112.0,6361.0,48432.0,199.46153846153845,49629732.0,0.0,0.0,0.0,13713,15539.0,0.0,4414340.0,0.0,0.0,1405654.0,0.0,2.561678407269867
LA,2018,235021.9,1738734,-652.2,23.5625,7262710000,29.33333333333333,1707.6778761061944,20.04490196078432,252.28,7.71,5.310025,8110980,789.0,4461.0,52378.0,201.6153846153846,61785552.0,625074.0,0.0,958893.0,4394810,87427.0,0.0,11786724.0,1922580.0,0.0,2638120.0,0.0,4.375862092718718
NH,2018,549000.8,49888,-1597.4,2604.96875,2784299000,41.0,1385.6246575342466,7.25547619047619,252.28,13.392000000000001,5.310025,293754,394.0,2339.0,9349.0,201.6153846153846,2991539.0,47677.0,0.0,1640984.0,181663,145173.0,0.0,666175.0,0.0,0.0,1413181.0,0.0,45.14762942834661
SC,2019,214933.7,337310,-559.4,0.9622641509433962,8035727000,26.615384615384613,1276.5362637362634,17.823382352941177,230.09,10.02,5.310025,6473162,284.0,1689.0,32020.0,199.46153846153845,24242129.0,42300.0,0.0,2836321.0,96829,142650.0,0.0,14859921.0,0.0,0.0,2275424.0,-908655.0,9.970284892125548
FL,2018,936580.3,1477160,-2413.7,0.1,24613584000,32.1578947368421,1543.0086021505374,23.27317307692308,252.28,10.32,5.310025,13365449,171.0,962.0,65758.0,201.6153846153846,172555688.0,2996373.0,0.0,238776.0,2076231,2645399.0,0.0,30123970.0,5489.0,0.0,2465490.0,0.0,2.5103138597485506
IA,2019,74937.1,442873,-337.9,1192.7131147540986,4635849000,43.8,1093.92,8.267307692307693,230.09,9.08,5.310025,12788791,738.0,3876.0,56273.0,199.46153846153845,8171030.0,0.0,0.0,748645.0,142497,208909.0,26558274.0,22174734.0,0.0,0.0,0.0,0.0,47.43773839806362
DE,2019,64319.3,89214,-194.0,209.33333333333331,1544995000,33.5,1134.8,13.9025,230.09,7.732,5.310025,85162,5.0,30.0,2489.0,199.46153846153845,4679327.0,0.0,0.0,0.0,42196,0.0,0.0,119120.0,193995.0,0.0,0.0,0.0,0.0
GA,2017,519452.6,689501,-1329.2,75.23728813559322,13114685000,24.92857142857143,1374.153448275862,18.29088888888889,239.82,9.83,5.310025,16769956,580.0,3341.0,59425.0,192.92307692307693,53474177.0,107750.0,0.0,3139526.0,269791,187578.0,0.0,32472708.0,0.0,0.0,4729903.0,-1247579.0,7.31144230324668
WA,2019,548686.7,345210,-1744.8,1016.7058823529413,7412065000,27.222222222222218,975.0676691729325,7.9339378238341975,230.09,4.744,5.310025,4804176,6055.0,35442.0,71298.0,199.46153846153845,13716250.0,66501.0,0.0,66181159.0,19666,132244.0,0.0,7170101.0,0.0,0.0,1469508.0,0.0,76.37043926631237
OK,2019,197900.4,835139,-806.1,56.20833333333334,5092299000,43.53846153846154,1112.8951351351352,15.484854368932039,230.09,7.86,5.310025,5205509,1147.0,5837.0,69899.0,199.46153846153845,44658127.0,0.0,0.0,1823671.0,17356,0.0,0.0,7826059.0,0.0,0.0,235820.0,-104059.0,3.5907834320724463
NE,2019,77240.3,185260,-146.1,1114.6869565217391,2759154000,44.06666666666667,863.005900621118,8.730582524271844,230.09,9.08,5.310025,13064155,1851.0,11332.0,77348.0,199.46153846153845,1216716.0,0.0,0.0,1159956.0,18845,78595.0,7414499.0,20342865.0,0.0,0.0,0.0,0.0,28.622651437859005
ND,2019,153728.6,134722,-386.6,1847.2758620689654,1908490000,46.375,666.7848484848485,3.477619047619048,230.09,8.85,5.310025,21329202,252.0,1523.0,70698.0,199.46153846153845,1245467.0,0.0,0.0,2801160.0,33553,2572.0,0.0,25247528.0,49646.0,0.0,0.0,0.0,9.54301927104922
HI,2018,82203.9,3282,-257.4,0.0,2725018000,41.75,2160.6984126984125,21.386388888888884,252.28,29.18,5.310025,734351,145.0,699.0,10932.0,201.6153846153846,0.0,383430.0,322330.0,103061.0,6756303,307051.0,542656.0,1311202.0,55722.0,0.0,0.0,0.0,13.03547267335974
MS,2017,279264.3,526862,-1123.7,40.20588235294117,4348025000,27.09090909090909,1604.96484375,18.992916666666666,239.82,9.09,5.310025,3864960,1112.0,6361.0,48432.0,192.92307692307693,46994320.0,1855.0,0.0,0.0,11902,12977.0,0.0,4628230.0,0.0,0.0,1471741.0,0.0,2.7949724238190057
ID,2017,752459.2,111334,-2881.8,1521.2727272727273,1964825000,24.125,857.4905882352942,6.692364532019704,239.82,8.26,5.310025,0,4937.0,28645.0,83569.0,192.92307692307693,2841667.0,68343.0,0.0,9509213.0,169,0.0,0.0,26151.0,0.0,0.0,348647.0,0.0,77.0495045016527
MS,2018,284696.3,576888,-1285.0,34.62162162162162,4655357000,25.66666666666667,1775.7285714285715,18.416976744186044,252.28,9.24,5.310025,4505890,1112.0,6361.0,48432.0,201.6153846153846,49492794.0,0.0,0.0,0.0,28504,15517.0,0.0,5280044.0,0.0,0.0,1451141.0,0.0,2.606557901471529
CT,2018,249043.3,277931,-609.3,1450.0454545454545,7982157000,31.375,1627.1065217391306,10.287058823529412,252.28,14.616,5.310025,220578,141.0,807.0,5543.0,201.6153846153846,19742542.0,464733.0,0.0,395347.0,379167,500720.0,0.0,329700.0,0.0,0.0,0.0,3471.0,4.123355311409042
CO,2018,342865.6,485735,-1122.8,1346.291891891892,5655389000,26.764705882352942,401.0677530017153,6.890761589403972,252.28,10.02,5.310025,15266074,3802.0,22699.0,104094.0,201.6153846153846,16824147.0,0.0,0.0,1922150.0,12011,77956.0,9819107.0,26382061.0,0.0,0.0,0.0,-262738.0,21.098200931985126
MI,2018,467828.0,965538,-1131.4,1884.8267716535433,12541352000,35.84,951.0196078431372,7.234071428571428,252.28,7.296,5.310025,24238217,380.0,2407.0,96714.0,201.6153846153846,30552007.0,268096.0,0.0,1633605.0,1214491,974044.0,5330068.0,42910451.0,1597639.0,0.0,1544031.0,-698455.0,10.293808883079064
MA,2017,55964.7,448996,-162.0,1488.9454545454544,14262389000,37.29411764705883,1222.858762886598,10.0982,239.82,13.71,5.310025,558920,176.0,1012.0,10554.0,192.92307692307693,21341446.0,832188.0,0.0,825466.0,250107,1055222.0,0.0,1136318.0,0.0,0.0,138227.0,-443012.0,6.269515366071926
LA,2017,228819.3,1593181,-651.3,2.7142857142857144,7104647000,30.57142857142857,1693.8844827586206,20.53172413793104,239.82,7.79,5.310025,8397844,789.0,4461.0,52378.0,192.92307692307693,57884019.0,616487.0,0.0,1231096.0,4561055,85955.0,0.0,12315034.0,2164779.0,0.0,2709849.0,0.0,4.936845911438557
IL,2018,332156.8,1108592,-1126.5,684.6637168141592,21484023000,37.833333333333336,1167.5396825396824,10.901531531531534,252.28,7.627999999999999,5.310025,35493118,573.0,3092.0,57914.0,201.6153846153846,16031408.0,230551.0,0.0,144093.0,66729,452727.0,0.0,59763992.0,200817.0,0.0,0.0,0.0,0.7761965658172537
NM,2018,1467076.8,271547,-7058.5,321.57894736842104,2249649000,25.96,349.5131205673759,11.838421052631581,252.28,9.35,5.310025,7261657,917.0,5113.0,121590.0,201.6153846153846,11531570.0,0.0,0.0,192695.0,20458,20264.0,0.0,13401533.0,0.0,0.0,0.0,0.0,0.8461996334813077
VA,2018,29565.4,634162,-90.4,609.9156626506024,11254537000,31.41666666666667,1624.0532544378698,13.82841463414634,252.28,6.376,5.310025,4938516,1080.0,5963.0,42775.0,201.6153846153846,50359115.0,471226.0,0.0,1450118.0,849976,1200186.0,0.0,9313272.0,0.0,0.0,2952557.0,-1291976.0,6.601209283149574
AR,2018,314016.1,360804,-789.0,53.57758620689656,3859004000,27.294117647058826,1632.421243523316,15.856739130434782,252.28,7.78,5.310025,17452295,1108.0,5964.0,53179.0,201.6153846153846,19139636.0,5087.0,0.0,3536348.0,36872,101201.0,0.0,29996099.0,0.0,0.0,1352453.0,0.0,9.212136325680161
IA,2017,68412.2,391129,-298.9,480.79508196721315,4272972000,44.57142857142857,851.7983425414365,10.008846153846154,239.82,8.73,5.310025,14477681,738.0,3876.0,56273.0,192.92307692307693,3519292.0,0.0,0.0,914568.0,297152,191550.0,20815751.0,25512926.0,0.0,0.0,0.0,0.0,42.77334446490162
MN,2019,341041.4,509061,-2333.4,2079.625,6915058000,37.53333333333333,1019.3243523316063,4.286165413533834,230.09,10.33,5.310025,10767336,516.0,2870.0,86936.0,199.46153846153845,10372307.0,354279.0,0.0,886728.0,46549,381193.0,11040440.0,18206287.0,0.0,0.0,969565.0,0.0,31.42157903520117
AR,2017,302117.8,311609,-734.3,41.93103448275862,3804770000,27.588235294117645,1291.847120418848,16.763253012048196,239.82,8.26,5.310025,15193337,1108.0,5964.0,53179.0,192.92307692307693,17588176.0,4879.0,0.0,3951323.0,48204,118625.0,0.0,26285433.0,0.0,0.0,1371717.0,0.0,11.022576667884653
OH,2017,592725.7,948324,-1553.7,540.1756756756756,23608526000,36.458333333333336,1158.690052356021,11.794285714285715,239.82,7.914,5.310025,28522773,491.0,2561.0,44826.0,192.92307692307693,28134021.0,0.0,0.0,553225.0,772322,452605.0,0.0,68583587.0,841169.0,0.0,257737.0,0.0,1.2687095110093547
MD,2019,374039.3,300876,-1215.0,645.84,9931619000,33.57142857142857,1175.2175,13.6888,230.09,8.777999999999999,5.310025,2676056,189.0,1036.0,12406.0,199.46153846153845,14839476.0,328759.0,0.0,2204934.0,78449,343970.0,0.0,5721572.0,0.0,0.0,60123.0,0.0,11.065850971886794
AZ,2017,114950.7,321451,-782.9,308.73214285714283,8259483000,31.125,273.273046875,15.527986577181208,239.82,10.64,5.310025,16929036,515.0,3090.0,113990.0,192.92307692307693,29550427.0,0.0,0.0,6972056.0,56552,37196.0,0.0,31396139.0,0.0,4737100.0,0.0,-45830.0,16.09344731570524
