State,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AL,1513.395575221239,1263.314423076923,1092.834693877551,1542.506,1439.363,1634.585294117647,1530.5670103092784,1468.8836734693878,1217.8666666666666,956.244761904762,1398.111111111111,1867.3336683417085,1257.2274881516587,1369.8630541871921,1382.9824390243903,1686.8671957671957,1484.8386597938145,1596.3244680851064,1194.7626943005182
AK,877.2619469026548,908.9247933884297,914.6900826446281,929.5908333333333,1072.805303030303,924.0173913043478,939.7870229007634,1026.6592592592592,1079.22375,1027.3939024390245,1214.444966442953,908.3315476190476,974.4977011494253,1211.4421052631578,1080.378313253012,1139.9058823529413,1086.7552795031056,1004.6307692307693,1037.1679487179488
AZ,420.8618055555556,313.45064935064937,364.4876811594203,327.76466666666664,216.04935064935066,318.5775,388.1025641025641,403.1384615384615,297.07520661157025,355.76328125,410.98839285714286,232.66545454545454,404.3955357142857,265.3075098814229,264.1112727272727,325.11400778210117,327.58763636363636,386.4873015873016,351.94780876494025
AR,1266.8503448275862,1119.6737931034484,1167.5478873239438,1383.6302158273381,1310.109589041096,1108.7459854014598,1426.408208955224,914.9834782608696,1270.6482758620689,1182.5364864864864,1569.8013793103448,1819.047857142857,995.5839506172839,1457.554,999.0854166666667,1361.4490683229815,1212.7117318435753,1750.6983516483517,1257.741884816754
CA,1051.6982142857144,482.22975871313673,611.1005797101449,610.5958579881657,511.3311428571429,578.0613372093023,590.7556521739131,835.2660256410256,710.2262987012987,372.614953271028,497.83417721518987,492.05076530612246,854.605298013245,516.5165789473684,606.3465558194774,194.6634429400387,521.9558490566038,369.0519642857143,679.4827272727273
CO,548.81171875,575.4874100719425,505.35770609318996,471.13367697594504,353.42764505119453,492.4422287390029,544.4377892030849,516.3219954648526,498.033185840708,504.8289029535865,466.6561507936508,534.0043103448276,485.70270758122746,499.546875,334.40789946140035,542.685559566787,541.6166371681416,603.5355008787346,460.5153024911032
CT,1247.2666666666667,1300.5428571428572,1210.8117647058823,1001.145,1199.9272727272728,1384.764705882353,1229.3428571428572,1319.9307692307693,1435.9666666666667,1112.31,1499.611111111111,1231.7882352941176,1214.1529411764707,1640.1653846153847,999.4153846153846,1133.9392857142857,1149.7347826086957,944.5111111111111,951.9090909090909
DE,971.325,1204.6,1210.3666666666666,995.9666666666667,1181.25,1491.55,1117.94,1159.1,1221.9833333333333,1043.9857142857143,1087.85,1424.6833333333334,1055.6181818181817,1346.4636363636364,962.925,1321.3,1205.075,1246.6538461538462,1231.8916666666667
FL,1462.8532608695652,1292.9405940594058,1064.426168224299,1376.0080357142858,1482.7345132743362,1493.4719008264462,1410.4884297520662,1532.2333333333333,1074.257638888889,1170.8006944444444,1334.0115,1383.5293388429752,1253.6947368421052,1251.5290909090909,1443.791724137931,1455.5811387900355,1526.3356115107913,1395.2324909747292,1429.510408921933
GA,1348.3203389830508,1053.2100917431192,1064.6747663551403,1083.8546296296297,1288.3677685950413,1469.202479338843,1342.449152542373,1420.0529411764705,1051.4616071428572,950.2446428571428,1204.1876288659794,1655.1300613496933,1138.52,1063.873142857143,1075.4514970059881,1639.00522875817,1286.2154320987654,1531.594674556213,1045.3637362637362
