State,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AL,29.75,25.8,26.181818181818183,24.416666666666668,26.076923076923077,25.53846153846154,26.46153846153846,25.76923076923077,26.916666666666668,24.583333333333332,26.7,24.53846153846154,22.846153846153847,23.25,21.0,22.9375,23.533333333333335,24.571428571428573,24.642857142857142
AK,37.94117647058823,36.3235294117647,36.75609756097561,34.92857142857143,34.395348837209305,36.404761904761905,35.95454545454545,35.79545454545455,35.0,34.5945945945946,32.142857142857146,31.558823529411764,32.69230769230769,35.73684210526316,34.67567567567568,33.05263157894737,33.027027027027025,36.0,36.648648648648646
AZ,31.833333333333332,30.11111111111111,30.75,30.333333333333332,31.0625,30.714285714285715,31.0,29.533333333333335,30.615384615384617,46.294117647058826,29.6,29.58823529411765,29.266666666666666,29.5625,27.75,28.6875,28.25,29.666666666666668,31.11764705882353
AR,30.666666666666668,29.714285714285715,29.2,26.266666666666666,27.933333333333334,28.8125,28.3125,26.823529411764707,29.928571428571427,26.428571428571427,28.333333333333332,26.11111111111111,25.1875,27.625,26.6875,25.2,27.066666666666666,25.466666666666665,26.352941176470587
CA,31.416666666666668,28.95744680851064,29.32,28.68,29.350649350649352,28.782608695652176,29.228571428571428,28.405797101449274,27.682539682539684,27.676470588235293,27.492753623188406,26.211267605633804,26.7,25.732394366197184,25.929577464788732,26.31081081081081,26.973684210526315,26.83116883116883,28.45945945945946
CO,37.0,38.05555555555556,37.6875,35.95,38.95238095238095,37.19047619047619,35.22727272727273,39.22727272727273,44.7,42.54545454545455,66.5625,43.421052631578945,43.8,49.2,46.473684210526315,34.125,35.96,39.15384615384615,39.18518518518518
CT,37.5,33.75,33.0,30.142857142857142,32.125,31.875,32.285714285714285,31.714285714285715,31.714285714285715,31.375,30.0,30.142857142857142,31.0,27.875,27.75,29.0,31.5,31.0,32.714285714285715
DE,38.0,40.0,35.5,36.0,39.0,33.5,32.5,33.5,35.0,35.0,35.0,33.0,34.0,32.0,31.5,32.5,38.0,35.0,35.0
FL,35.642857142857146,31.7,32.72727272727273,32.6,32.375,31.675675675675677,34.470588235294116,33.583333333333336,32.77777777777778,32.75,33.06666666666667,31.404761904761905,31.86046511627907,31.045454545454547,31.488372093023255,31.536585365853657,31.095238095238095,32.93181818181818,34.5
GA,27.666666666666668,25.727272727272727,25.416666666666668,23.75,25.866666666666667,23.529411764705884,25.235294117647058,25.235294117647058,24.764705882352942,23.647058823529413,24.764705882352942,23.705882352941178,22.375,23.0625,22.058823529411764,23.235294117647058,23.176470588235293,23.88235294117647,24.647058823529413
HI,46.5,47.0,47.166666666666664,45.875,41.625,43.857142857142854,41.857142857142854,45.666666666666664,41.5,44.0,41.142857142857146,38.888888888888886,42.142857142857146,38.857142857142854,41.75,39.142857142857146,38.375,39.875,43.125
ID,26.0,29.454545454545453,25.857142857142858,23.529411764705884,26.176470588235293,27.866666666666667,29.235294117647058,34.125,27.133333333333333,32.92857142857143,36.357142857142854,27.357142857142858,55.86666666666667,23.375,21.7,19.88235294117647,23.058823529411764,23.11111111111111,23.88888888888889
IL,37.4,39.833333333333336,39.46153846153846,38.88235294117647,40.0,39.8235294117647,39.88235294117647,38.294117647058826,39.23529411764706,38.529411764705884,39.0625,37.05882352941177,35.94117647058823,37.705882352941174,37.22222222222222,37.5,40.333333333333336,38.94444444444444,37.94444444444444
IN,36.5,37.54545454545455,36.833333333333336,36.666666666666664,37.666666666666664,36.5,37.583333333333336,34.36363636363637,35.166666666666664,34.833333333333336,36.25,34.25,32.583333333333336,34.833333333333336,33.416666666666664,34.5,37.0,35.833333333333336,34.90909090909091
IA,41.6,45.15384615384615,45.214285714285715,44.266666666666666,45.6,44.4,45.13333333333333,42.93333333333333,44.733333333333334,44.57142857142857,43.583333333333336,41.86666666666667,41.0,43.166666666666664,42.57142857142857,44.0,46.285714285714285,44.333333333333336,44.333333333333336
KS,47.8,45.578947368421055,45.85,44.095238095238095,45.72727272727273,43.5,44.19047619047619,43.13636363636363,45.0,42.869565217391305,45.9,43.36363636363637,42.63636363636363,45.3,43.1578947368421,43.95454545454545,46.90909090909091,43.19047619047619,43.333333333333336
